id,motion:name,motion:text,motion:description,order
15,Omezení imunity,"Imunita poslanců a senátorů by měla být omezena tak, že by se vztahovala jen na proslovy v Parlamentu.","Poslanci a senátoři nemohou být trestně stíháni, pokud je Parlament odmítne vydat. V takovém případě už za daný skutek nemohou být stíháni nikdy. Podle zastánců jde o pojistku proti politickému pronásledování zákonodárců, podle odpůrců brání imunita v legitimním vyšetřování trestné činnosti zákonodárců.",15
16,Zrušení regulačních poplatků,Regulační zdravotnické poplatky by měly být zrušeny.,"V ČR byly zavedeny regulační poplatky za zdravotní úkony a za pobyt v nemocnicích. Podle zastánců zabraňují plýtvání zdravotní péčí, podle odpůrců vedou ke zhoršení dostupnosti zdravotní péče zejména pro sociálně slabé pacienty. Podobné poplatky existují v řadě zemí, jako je Slovensko nebo Německo, jinde jsou neznámé.",16
17,Další bloky Temelína,ČEZ by měl pokračovat v plánu na výstavbu dalších dvou bloků v Temelíně.,"ČEZ chce postavit další dva bloky jaderné elektrárny Temelín. Jejich cena se odhaduje na „stovky miliard“ Kč. Např. Německo má plán útlumu jaderných elektráren (ač se diskutuje), Rakousko od jaderných elektráren odstoupilo, naopak na Slovensku se jaderné elektrárny rozšiřují.",17
18,Zákaz interupce,"Interrupce by měla být zakázána až na výjimečné případy, jako je znásilnění či ohrožení života matky.","Interrupce na žádost matky je v ČR možná stejně jako např. na Slovensku, v Rakousku či na Ukrajině. V Polsku je naopak zakázána až na určité výjimečné případy. Podle zastánců je právo na potrat základním právem ženy, podle odpůrců je nemorální.",18
19,Zrušení Senátu,Senát by měl být zrušen.,"Při volbách do Senátu je dlouhodobě nejnižší účast (srovnatelná jen s účastí v „eurovolbách“). Podle zastánců Senát plní funkci ""pojistky"" a pomáhá při vytváření kvalitnějších zákonů, podle odpůrců jde o zbytečnou instituci. Obdoba Senátu existuje v Polsku, např. v Německu jsou „senátory“ zástupci zemských vlád. Na Slovensku a v Maďarsku Senát není.",19
20,"Obchodní styk, lidská práva","ČR by měla usilovat o udržování obchodních vztahů i se zeměmi, které porušují lidská práva","ČR udržuje obchodní vztahy i se zeměmi, které porušují lidská práva. Podle zastánců zahraniční obchod podporuje hospodářský růst, podle odpůrců je taková spolupráce nemorální.",20
21,Zrušení 2. důchodového pilíře,Tzv. druhý pilíř důchodové reformy by měl být zrušen.,"Nedávno byla zavedena důchodová reforma, která počítá se zavedením tzv. druhého pilíře. Umožňuje přesun 3 % ze sociálního pojištění a dalších 2 % ze mzdy k soukromému penzijnímu fondu. Vstup do druhého pilíře je dobrovolný, ale nevratný. Podle zastánců umožní lepší zabezpečení životní úrovně ve stáří, podle odpůrců není zajištěna návratnost finančních prostředků.",21
22,Poplatek za prázdná média (zrušení),Měl by být zrušen poplatek za prázdná média.,"V ČR je nutno z každého prázdného nosiče informací jako je DVD, počítačový disk apod., i z každého rozmnožovacího zařízení jako DVD-RW či kopírka zaplatit poplatek, aby se tak kompenzovalo pirátské kopírování. Ten jde organizacím (např. OSA nebo DILIA), které zastupují část autorů. Tyto organizace však mohou kteréhokoliv autora mezi sebe bez důvodů nepřijmout.",22
23,Adopce homosexuály,Homosexuální páry by měly mít možnost adoptovat děti.,"V současné době mohou homosexuální páry uzavírat tzv. registrované partnerství, nemohou ovšem adoptovat děti. Adopce homosexuálními páry je legální např. v Nizozemí, ve Švédsku či v Norsku.",23
24,Klouzavý mandát,Měl by být zaveden tzv. klouzavý mandát.,"V ČR je možné i běžné, že ministři vlády jsou zároveň poslanci nebo senátory. Podle zastánců je kumulace funkcí prospěšná díky přenosu znalostí a zkušeností, podle odpůrců je těžko zvládnutelná. V řadě zemí existuje takzvaný „klouzavý mandát“ – za poslance nastupuje po dobu jeho členství ve vládě dočasný náhradník.",24
25,Zákon o vyrovnaném rozpočtu,Měl by být schválen zákon o vyrovnaném státním rozpočtu.,"V současné době se diskutuje o zavedení zákona o vyrovnaném státním rozpočtu, který by určoval určitou maximální povolenou míru schodku rozpočtu v závislosti na hospodářském růstu. Podle zastánců jde o opatření sloužící k omezení zadlužování státu, podle odpůrců zákon znemožní vládě provádět nezbytná opatření v hospodářské politice.",25
26,Ne zákazu billboardů,Zákaz billboardů u silnic by měl být zrušen.,"Nedávno začala platit novela, která nařizuje odstranit do pěti let billboardy v okolí dálnic, rychlostních komunikací a silnic I. třídy. Podle zastánců toto opatření sníží počet dopravních nehod, podle odpůrců problém neřeší, protože billboardy se přesunou na soukromé pozemky okolo silnic.",26
27,Ústav pro studium totalitních režimů,Měl by být zachován Ústav pro studium totalitních režimů.,"V ČR byl založen tzv. Ústav pro studium totalitních režimů zabývající se ""obdobím nacistické a komunistické totalitní moci"". Podle zastánců pomůže zabránit zkreslování historie, podle odpůrců není ústav politicky nestranný. Podobné ústavy fungují např. na Slovensku a v Polsku.",27
28,Zákaz jízdy kamionů,Zákaz jízdy kamionů by měl být oproti současnému stavu rozšířen.,"Na silnicích v ČR platí nyní zákaz jízdy kamionů v neděli. Podle zastánců pomáhá toto opatření snížit dopravní zátěž tranzitních obcí, podle odpůrců omezení přepravy zboží snižuje hospodářský růst.",28
29,Návrh zákona - petice,Občané by měli mít možnost předložit návrh zákona pomocí petice.,"V ČR mají zákonodárnou iniciativu pouze poslanci, vláda, Senát a zastupitelstvo kraje. V řadě zemí mohou navíc občané předložit zákon do Parlamentu přímo, a to pomocí petice.",29
30,Volby po internetu,Měla by být zavedena možnost volit po internetu.,"Volit po internetu je možné v Estonsku. Podle zastánců to usnadňuje účast ve volbách, podle odpůrců počítačové systémy nejsou zcela bezpečné a existuje riziko volebního podvodu.",30
31,Herní automaty - obce,Povolovat jakékoliv herní automaty by měly výhradně obce.,"V současné době se debatuje, zda mají všechny formy hazardu povolovat obce namísto Ministerstva financí. Podle zastánců by to byla byrokratická zátěží pro obce a existuje možnost korupce na lokální úrovni, podle odpůrců mají obce omezené možnosti ovlivnit umístění herních automatů na svém území.",31
32,Zákaz mešit,V ČR by měla být zakázána stavba mešit.,"V ČR nyní stojí několik mešit a jiných muslimských modliteben. Podle zastánců jejich výstavby jde o vyjádření svobody vyznání, podle odpůrců existence mešit v ČR není v souladu s křesťanskou tradicí země.",32
33,ACTA,Smlouva ACTA by měla v ČR platit.,"Nedávno byla podepsána protipirátská mezinárodní dohoda ACTA. Podle příznivců pomůže omezit nelegální kopírování, podle odpůrců hrozí zneužití pravomocí k cenzuře internetu.",33
34,Trest smrti,V ČR by měl být zaveden trest smrti.,"V ČR a v řadě dalších evropských zemí je nyní trest smrti nepřípustný. Podle jeho zastánců pomáhá díky své odstrašující funkci snižovat kriminalitu, podle odpůrců je nemorální a hrozí jeho zneužití a justiční omyly.",34
35,Anonymní akcie (zrušení),Možnost vlastnit společnost pomocí anonymních akcií by měla být zrušena.,"ČR je jednou z mála zemí světa, kde jsou povoleny anonymní akcie, u nichž nejde dohledat fyzický vlastník.",35
36,Veřejné platy stát. úředníků,Stát by měl platy a odměny vrcholných politiků a vysokých státních úředníků pravidelně zveřejňovat.,"V ČR jsou nyní platy a odměny politiků a státních úředníků neveřejné. Je možné o ně požádat na základě zákona o svobodném přístupu k informacím, úřady ale často odmítají údaje vydat. Např. ve Velké Británii jsou platy vysokých státních úředníků zveřejňovány státem.",36
37,Stát. zastup. proti korupci,Mělo by být zřízeno specializované státní zastupitelství pro boj proti korupci.,"V ČR se nyní uvažuje o zřízení specializovaného státního zastupitelství pro boj proti korupci. Podle zastánců pomůže vytvoření jednoho orgánu v boji proti systémové korupci, podle odpůrců může být taková instituce pod velkým politickým a korupčním tlakem.",37
38,Kvóty pro ženy,Pro obsazování vysokých volených funkcí by měly být zavedeny kvóty pro ženy.,"V některých skandinávských zemích jsou zavedeny kvóty pro ženy při obsazování některých volených funkcí. Podle zastánců zabraňují kvóty diskriminaci žen, podle odpůrců porušují rovnost pohlaví před zákonem.",38
