id,name,election_type,state,district,cabecera,curul
62-27,Villafuerte Trujillo Amílcar Augusto,Mayoría Relativa,Chiapas,3,Ocosingo,K-387
62-26,Gómez Gómez Pedro,Mayoría Relativa,Chiapas,2,Bochil,J-337
62-21,Torres Cofiño Marcelo de Jesús,Mayoría Relativa,Coahuila,6,Torreón,D-094
62-20,Juan Marcos Issa Salomón,Mayoría Relativa,Coahuila,5,Torreón,L-423
62-23,Aguayo López Miguel Ángel,Mayoría Relativa,Colima,1,Colima,K-378
62-22,Quintana Salinas Esther,Mayoría Relativa,Coahuila,7,Saltillo,J-331
62-29,Gómez Gómez Luis,Mayoría Relativa,Chiapas,5,San Cristóbal de las Casas,J-338
62-28,Gutiérrez Álvarez Harvey,Mayoría Relativa,Chiapas,4,Ocozocoautla de Espinosa,J-340
62-791,González Domínguez Isela,Mayoría Relativa,Veracruz,21,Cosoleacaque,L-441
62-216,Allende Cano Ana Isabel,Mayoría Relativa,Puebla,8,Ciudad Serdán,M-483
62-118,Gauna Ruiz de León Celia Isabel,Mayoría Relativa,Jalisco,12,Tlajomulco de Zúñiga,M-471
62-119,Barba Mariscal Marco Antonio,Mayoría Relativa,Jalisco,13,Guadalajara,L-436
62-116,Borboa Becerra Omar Antonio,Mayoría Relativa,Jalisco,10,Zapopan,H-249
62-117,Delgadillo González Claudia,Mayoría Relativa,Jalisco,11,Guadalajara,K-389
62-114,Alcalá Padilla Leobardo,Mayoría Relativa,Jalisco,8,Guadalajara,K-394
62-115,Mendoza Curiel Ma Leticia,Mayoría Relativa,Jalisco,9,Guadalajara,L-430
62-112,Salgado Peña Abel Octavio,Mayoría Relativa,Jalisco,6,Zapopan,K-393
62-113,Chávez Dávalos Sergio Armando,Mayoría Relativa,Jalisco,7,Tonalá,K-392
62-110,Arellano Guzmán Salvador,Mayoría Relativa,Jalisco,4,Zapopan,L-433
62-111,González Reséndiz Rafael,Mayoría Relativa,Jalisco,5,Puerto Vallarta,L-431
62-181,Martínez Rojas Andrés Eloy,Mayoría Relativa,Morelos,4,Jojutla,L-456
62-180,Rodríguez Montero Francisco Tomás,Mayoría Relativa,Morelos,3,Cuautla,E-155
62-183,Rocha Piedra Juan Manuel,Mayoría Relativa,Nayarit,1,Santiago Ixcuintla,M-463
62-182,Nájera Medina Víctor Reymundo,Mayoría Relativa,Morelos,5,Yautepec,M-496
62-185,Núñez Sánchez Gloria Elizabeth,Mayoría Relativa,Nayarit,3,Compostela,M-462
62-184,Gómez Olguín Roy Argel,Mayoría Relativa,Nayarit,2,Tepic,M-461
62-460,Olvera Barrios Cristina,Representación proporcional,Distrito Federal,4,,B-034
62-461,González Carrillo Adriana,Representación proporcional,México,5,,G-210
62-189,Fuentes Solís Víctor Oswaldo,Mayoría Relativa,Nuevo León,4,San Nicólas de los Garza,C-054
62-188,Guerra Garza Abel,Mayoría Relativa,Nuevo León,3,Gral. Escobedo,M-478
62-230,King De la Rosa Raymundo,Mayoría Relativa,Quintana Roo,2,Othón P. Blanco,M-470
62-269,Vega Vázquez José Humberto,Mayoría Relativa,Tlaxcala,2,Tlaxcala de Xicohténcatl,J-366
62-468,Lugo Barriga Patricia,Representación proporcional,Colima,5,,F-161
62-469,Uribe Padilla Juan Carlos,Representación proporcional,México,5,,C-056
62-667,Gaona García Mario César,Mayoría Relativa,Michoacán,2,Puruándiro,C-072
62-660,Hernández Monroy Alicia,Mayoría Relativa,México,35,Tenancingo de Degollado,J-358
62-661,Jaramillo Villa Ma. Guadalupe,Mayoría Relativa,México,36,Tejupilco de Hidalgo,K-406
62-662,Ramírez Hernández Teresita de Jesús,Mayoría Relativa,México,37,Cuautitlán,G-229
62-146,Ruíz Sandoval Cristina,Mayoría Relativa,México,21,Naucalpan de Juárez,I-315
62-504,Vildosola Lacarra Miguel Alfonso,Mayoría Relativa,Baja California,1,Mexicali,B-038
62-507,Martínez Gutiérrez Virginia Victoria,Mayoría Relativa,Baja California,4,Tijuana,C-068
62-506,Medina Fierro Ricardo,Mayoría Relativa,Baja California,3,Ensenada,C-069
62-668,Mora González Jesús Antonio,Mayoría Relativa,Michoacán,3,Heroica Zitácuaro,F-191
62-500,González Roldán Luis Antonio,Representación proporcional,México,5,,C-065
62-186,Niño de Rivera Vela Homero Ricardo,Mayoría Relativa,Nuevo León,1,Santa Catarina,I-288
62-390,González Manríquez Víctor Rafael,Representación proporcional,Oaxaca,3,,K-374
62-391,Cáceres de la Fuente Juan Francisco,Representación proporcional,Tabasco,3,,F-164
62-392,Moreno Cárdenas Rafael Alejandro,Representación proporcional,Campeche,3,,J-354
62-393,Madrid Tovilla Areli,Representación proporcional,Chiapas,3,,J-339
62-394,Aldana Prieto Luis Ricardo,Representación proporcional,Veracruz,3,,L-439
62-395,Ortega Pacheco Guadalupe del Socorro,Representación proporcional,Yucatán,3,,D-102
62-396,Vásquez Villanueva Martín de Jesús,Representación proporcional,Oaxaca,3,,H-257
62-397,García Fernández María de las Nieves,Representación proporcional,Oaxaca,3,,I-310
62-398,Del Angel Acosta Jorge,Representación proporcional,Veracruz,3,,L-442
62-399,Gamboa Song Lizbeth Loy,Representación proporcional,Quintana Roo,3,,L-451
62-828,Correa Acevedo Abraham,Representación proporcional,Baja California,1,,F-192
62-279,Charleston Hernández Fernando,Mayoría Relativa,Veracruz,9,Coatepec,K-401
62-487,García Reyes Verónica,Representación proporcional,Michoacán,5,,C-079
62-944,Ramírez Torres Aída,Representación proporcional,Puebla,4,,A-022
62-947,Chávez Contreras Rodrigo,Representación proporcional,Distrito Federal,4,,M-499
62-940,Rosales Villegas Lucia,Representación proporcional,Morelos,4,,K-414
62-285,Diez Francos Juan Manuel,Mayoría Relativa,Veracruz,15,Orizaba,L-447
62-309,Urciel Castañeda María Celia,Representación proporcional,Nayarit,1,,B-033
62-308,Castaños Valenzuela Carlos Humberto,Representación proporcional,Sinaloa,1,,D-088
62-718,Castillo Terreros Liliana,Mayoría Relativa,Puebla,10,Cholula de Rivadavia,E-127
62-303,Villalobos Seáñez Jorge Iván,Representación proporcional,Sinaloa,1,,E-136
62-302,Pérez Camarena Carmen Lucia,Representación proporcional,Jalisco,1,,I-287
62-301,Sánchez Ruíz Mario,Representación proporcional,Sonora,1,,D-097
62-300,Romo Fonseca Bárbara Gabriela,Mayoría Relativa,Zacatecas,4,Guadalupe,J-344
62-307,Reza Gallegos Rocío Esmeralda,Representación proporcional,Chihuahua,1,,E-120
62-306,Cortés Berumen Isaías,Representación proporcional,Jalisco,1,,E-131
62-305,de la Rosa Anaya Andrés,Representación proporcional,Baja California,1,,B-029
62-304,Pantoja Hernández Leslie,Representación proporcional,Sonora,1,,I-289
62-417,Vital Vera Martha Edith,Representación proporcional,Chiapas,3,,J-343
62-416,González Luna Bueno Federico José,Representación proporcional,Veracruz,3,,J-345
62-415,Medrano Galindo Gabriela,Representación proporcional,Quintana Roo,3,,J-347
62-278,Montano Guzmán José Alejandro,Mayoría Relativa,Veracruz,8,Xalapa,L-438
62-413,Torres Flores Araceli,Representación proporcional,Veracruz,3,,C-080
62-412,Roblero Gordillo Héctor Hugo,Representación proporcional,Chiapas,3,,E-159
62-410,Moctezuma Oviedo María Guadalupe,Representación proporcional,Veracruz,3,,I-322
62-404,Copete Zapot Yazmin de los Ángeles,Representación proporcional,Veracruz,3,,M-497
62-419,Caamal Mena José Angelino,Representación proporcional,Campeche,3,,A-008
62-418,Vargas Pérez Nelly del Carmen,Representación proporcional,Tabasco,3,,F-198
62-246,Heredia Lizárraga Martín Alonso,Mayoría Relativa,Sinaloa,8,Mazatlán,P-501
62-247,Reina Lizárraga José Enrique,Mayoría Relativa,Sonora,1,San Luis Río Colorado,F-168
62-244,Corrales Corrales Francisca Elena,Mayoría Relativa,Sinaloa,6,Mazatlán,P-507
62-245,Torres Félix Sergio,Mayoría Relativa,Sinaloa,7,Culiacán de Rosales,G-213
62-242,Rubio Lara Blas Ramón,Mayoría Relativa,Sinaloa,4,Guasave,G-211
62-243,Valdés Palazuelos Jesús Antonio,Mayoría Relativa,Sinaloa,5,Culiacán,F-170
62-240,Peña Avilés Gerardo,Mayoría Relativa,Sinaloa,2,Los Mochis,A-003
62-241,Inzunza Montoya Alfonso,Mayoría Relativa,Sinaloa,3,Guamúchil,G-212
62-178,Coronato Rodríguez José Francisco,Mayoría Relativa,Morelos,1,Cuernavaca,F-200
62-847,Baca Bonifaz Rocío,Representación proporcional,Nuevo León,2,,D-091
62-405,Fócil Pérez Juan Manuel,Representación proporcional,Tabasco,3,,A-018
62-187,Caballero Garza Benito,Mayoría Relativa,Nuevo León,2,Apodaca,M-475
62-248,Galindo Delgado David Cuauhtémoc,Mayoría Relativa,Sonora,2,Nogales,A-006
62-249,López Noriega Alejandra,Mayoría Relativa,Sonora,3,Hermosillo,F-167
62-488,Cedillo Hernández Ángel,Representación proporcional,México,5,,C-077
62-489,Mejía Guardado Julisa,Representación proporcional,México,5,,K-411
62-169,Romero Valencia Salvador,Mayoría Relativa,Michoacán,4,Jiquilpan de Juárez,I-298
62-168,Aureoles Conejo Silvano,Mayoría Relativa,Michoacán,3,Heroica Zitácuaro,P-509
62-167,Contreras Ceballos Armando,Mayoría Relativa,Michoacán,2,Puruándiro,C-072
62-166,Barrera Estrada Rodimiro,Mayoría Relativa,Michoacán,1,Lázaro Cárdenas,H-253
62-165,Hernández Tapia Gerardo Xavier,Mayoría Relativa,México,40,San Miguel Zinacantepec,I-313
62-164,González Cruz Cristina,Mayoría Relativa,México,39,Los Reyes Acaquilpan,F-188
62-480,Villaseñor Gudiño Blanca Ma.,Representación proporcional,Michoacán,5,,H-251
62-162,Fernández Clamont Francisco Javier,Mayoría Relativa,México,37,Cuautitlán,G-229
62-161,Barrueta Barón Noé,Mayoría Relativa,México,36,Tejupilco de Hidalgo,K-406
62-160,Rellstab Carreto Tanya,Mayoría Relativa,México,35,Tenancingo de Degollado,J-358
62-892,Alonso Álvarez Celestino Manuel,Representación proporcional,Oaxaca,3,,J-354
62-640,Sánchez Guerrero Víctor,Mayoría Relativa,México,15,Tlanepantla de Baz,G-205
62-568,Bazán Tenorio Fidel,Mayoría Relativa,Distrito Federal,23,Coyoacán,F-194
62-897,Clara Molina Mónica,Representación proporcional,Oaxaca,3,,J-362
62-647,Kelly Sánchez Karina,Mayoría Relativa,México,22,Naucalpan de Juárez,F-187
62-644,Cruz Serrano Nadya de Jesús,Mayoría Relativa,México,19,Tlanepantla de Baz,F-182
62-478,Calderón Ramírez Leticia,Representación proporcional,México,5,,J-359
62-406,Romero Lozano María Fernanda,Representación proporcional,Tabasco,3,,I-326
62-649,Sánchez Hernández Minerva Marisol,Mayoría Relativa,México,24,Naucalpán de Juárez,G-224
62-566,Sandoval Martínez Hugo,Mayoría Relativa,Distrito Federal,21,Xochimilco,J-371
62-61,Carrillo Huerta Mario Miguel,Mayoría Relativa,Distrito Federal,16,Alvaro Obregón,I-317
62-60,Sotomayor Chávez Jorge Francisco,Mayoría Relativa,Distrito Federal,15,Benito Juárez,J-334
62-63,Quiroga Anguiano Karen,Mayoría Relativa,Distrito Federal,18,Iztapalapa,E-149
62-62,Zárate Salgado Fernando,Mayoría Relativa,Distrito Federal,17,Alvaro Obregón,E-146
62-65,Benavides Castañeda José Alberto,Mayoría Relativa,Distrito Federal,20,Iztapalapa,A-023
62-64,Alavez Ruiz Aleida,Mayoría Relativa,Distrito Federal,19,Iztapalapa,E-153
62-67,Carpinteyro Calderón Purificación,Mayoría Relativa,Distrito Federal,22,Iztapalapa,G-234
62-66,Sánchez Camacho Alejandro,Mayoría Relativa,Distrito Federal,21,Xochimilco,J-371
62-69,Villanueva Albarrán Gerardo,Mayoría Relativa,Distrito Federal,24,Coyoacán,M-500
62-68,Maldonado Salgado José Valentín,Mayoría Relativa,Distrito Federal,23,Coyoacán,F-194
62-336,Durazo Montaño Francisco Alfonso,Representación proporcional,Sonora,1,,H-281
62-337,Gómez Pozos Merilyn,Representación proporcional,Jalisco,1,,P-508
62-334,Acosta Montoya Rubén,Representación proporcional,Chihuahua,1,,H-260
62-335,Garza Cadena Ana Lilia,Representación proporcional,Baja California,1,,I-301
62-332,Bonilla Valdez Jaime,Representación proporcional,Baja California,1,,A-024
62-333,Aguilar Gil Lilia,Representación proporcional,Chihuahua,1,,D-118
62-330,López González Roberto,Representación proporcional,Jalisco,1,,F-193
62-331,Tovar Aragón Crystal,Representación proporcional,Chihuahua,1,,I-320
62-80,Garza Moreno María Esther,Mayoría Relativa,Guanajuato,4,Guanajuato,E-145
62-338,Valle Magaña José Luis,Representación proporcional,Jalisco,1,,G-241
62-339,Félix Hays Rubén Benjamín,Representación proporcional,Sinaloa,1,,C-063
62-202,Antonio Altamirano Carol,Mayoría Relativa,Oaxaca,5,Santo Domingo Tehuantepec,B-048
62-203,Romero Guzmán Rosa Elia,Mayoría Relativa,Oaxaca,6,Heroica Ciudad de Tlaxiaco,C-082
62-200,Bautista Cuevas Gloria,Mayoría Relativa,Oaxaca,3,Heroica Ciudad de Huajuapan de León,J-364
62-201,Diego Cruz Eva,Mayoría Relativa,Oaxaca,4,Tlacolula de Matamoros,G-236
62-206,Méndez Martínez Mario Rafael,Mayoría Relativa,Oaxaca,9,Santa Lucía del Camino,G-235
62-207,Valencia Ramírez Aída Fabiola,Mayoría Relativa,Oaxaca,10,Miahuatlán de Porfirio Díaz,F-202
62-204,Gurrión Matias Samuel,Mayoría Relativa,Oaxaca,7,Juchitán de Zaragoza,H-258
62-205,Jarquín  Hugo,Mayoría Relativa,Oaxaca,8,Oaxaca de Juárez,K-415
62-208,Guzmán Díaz Delfina Elizabeth,Mayoría Relativa,Oaxaca,11,Santiago Pinotepa Nacional,J-363
62-209,Vargas Vargas Laura Guadalupe,Mayoría Relativa,Puebla,1,Huauchinango,M-481
62-595,Cabrera Solís Roberto,Mayoría Relativa,Guerrero,5,Tlapa,C-074
62-639,Guzmán Urbán María del Carmen,Mayoría Relativa,México,14,Ciudad Adolfo López Mateos,G-226
62-638,Quiroz Ávila Guiliana Guadalupe,Mayoría Relativa,México,13,Ecatepec de Morelos,F-189
62-632,Valencia González Gloria María del Carmen,Mayoría Relativa,México,7,Cuautitlán Izcalli,H-269
62-630,Morales Fernández Marisol,Mayoría Relativa,México,5,Teotihuacán de Arista,M-186
62-637,Ayala Bravo María Guadalupe,Mayoría Relativa,México,12,Ixtapaluca,K-384
62-636,Sánchez Balderas Irere,Mayoría Relativa,México,11,Ecatepec de Morelos,F-184
62-634,Mejía García Leticia,Mayoría Relativa,México,9,Ixtlahuaca de Rayón,J-357
62-383,Zavala Peniche Beatriz,Representación proporcional,Yucatán,3,,E-134
62-382,Bueno Torio Juan,Representación proporcional,Veracruz,3,,D-089
62-381,Cruz Mendoza Eufrosina,Representación proporcional,Oaxaca,3,,B-026
62-380,Cerda Franco María Sanjuana,Representación proporcional,Nuevo León,2,,B-036
62-387,Ricalde Magaña Alicia Concepción,Representación proporcional,Quintana Roo,3,,L-419
62-386,Chan Lugo Sergio Augusto,Representación proporcional,Yucatán,3,,H-250
62-385,García Rojas Mariana Dunyaska,Representación proporcional,Veracruz,3,,E-119
62-384,Rosiñol Abreu Jorge,Representación proporcional,Campeche,3,,D-098
62-318,Galván Villanueva Raúl Santos,Representación proporcional,Sinaloa,1,,F-171
62-389,Valladares Couoh Cinthya Noemí,Representación proporcional,Yucatán,3,,C-052
62-670,Hernández Ortiz Carolina,Mayoría Relativa,Michoacán,5,Zamora de Hidalgo,H-252
62-401,Pérez Escalante Elvia María,Representación proporcional,Campeche,3,,L-422
62-931,Munive Temoltzin Linda Marina Dolores,Representación proporcional,Morelos,4,,J-350
62-319,Corona Nakamura Maria del Rocio,Representación proporcional,Jalisco,1,,L-450
62-251,Zepeda Vidales Damián,Mayoría Relativa,Sonora,5,Hermosillo,C-053
62-422,Pedraza Aguilera Flor de María,Representación proporcional,Distrito Federal,4,,C-058
62-423,Cortázar Lara Gerardo Maximiliano,Representación proporcional,Distrito Federal,4,,D-087
62-420,Rincón Chanona Sonia,Representación proporcional,Chiapas,3,,B-035
62-421,Adame Alemán Juan Pablo,Representación proporcional,Morelos,4,,H-246
62-426,Rodríguez Doval Fernando,Representación proporcional,Distrito Federal,4,,K-372
62-427,Saldaña Hernández Margarita,Representación proporcional,Distrito Federal,4,,E-123
62-424,Romero Sevilla Leonor,Representación proporcional,Tlaxcala,4,,A-005
62-425,Micalco Méndez Rafael Alejandro,Representación proporcional,Puebla,4,,H-242
62-428,Ramírez Romero Luis Miguel,Representación proporcional,Morelos,4,,D-083
62-429,Aguilar Rodríguez Aurora de la Luz,Representación proporcional,Tlaxcala,4,,D-095
62-486,Manriquez González Victor Manuel,Representación proporcional,Michoacán,5,,A-019
62-295,Paz Alonzo Raúl,Mayoría Relativa,Yucatán,4,Mérida,B-028
62-294,Sahui Rivero Mauricio,Mayoría Relativa,Yucatán,3,Mérida,D-101
62-297,Bonilla Gómez Adolfo,Mayoría Relativa,Zacatecas,1,Fresnillo,K-379
62-296,Vela Reyes Marco Alonso,Mayoría Relativa,Yucatán,5,Ticul,D-104
62-291,Vázquez Parissi Ponciano,Mayoría Relativa,Veracruz,21,Cosoleacaque,L-441
62-290,Vázquez Saut Regina,Mayoría Relativa,Veracruz,20,Acayucan,L-443
62-293,Ordaz Martínez María del Carmen,Mayoría Relativa,Yucatán,2,Progreso,D-103
62-19,De las Fuentes Hernández Fernando Donato,Mayoría Relativa,Coahuila,4,Saltillo,L-427
62-950,Gutiérrez Reyes Javier,Representación proporcional,Distrito Federal,4,,G-239
62-163,de la Vega Membrillo Jorge Federico,Mayoría Relativa,México,38,Texcoco de Mora,E-152
62-282,Acosta Croda Rafael,Mayoría Relativa,Veracruz,12,Veracruz,B-025
62-299,Guerrero López Judit Magdalena,Mayoría Relativa,Zacatecas,3,Zacatecas,K-385
62-298,Flemate Ramírez Julio César,Mayoría Relativa,Zacatecas,2,Jerez de García Salinas,K-380
62-481,Salgado Delgado Fernando,Representación proporcional,México,5,,J-360
62-862,Serna Escalera César Agustín,Representación proporcional,Nuevo León,2,,M-474
62-863,Loera Arámbula Martha,Representación proporcional,Coahuila,2,,L-426
62-482,Salinas Narváez Javier,Representación proporcional,México,5,,D-110
62-689,Flores Suarez Ricardo,Mayoría Relativa,Nuevo León,4,San Nicólas de los Garza,C-054
62-684,Aldrete Lamas Ángel Alain,Mayoría Relativa,Nayarit,2,Tepic,M-461
62-483,Bonilla Jaime Juana,Representación proporcional,México,5,,C-071
62-611,Sánchez González Gildardo,Mayoría Relativa,Jalisco,5,Puerto Vallarta,L-431
62-610,Ochoa Casillas José Daniel,Mayoría Relativa,Jalisco,4,Zapopan,L-433
62-613,Gutiérrez Olivares María Esther,Mayoría Relativa,Jalisco,7,Tonalá,K-392
62-344,Yamamoto Cázares Beatriz Eugenia,Representación proporcional,Guanajuato,2,,E-132
62-343,Camarillo Ortega Rubén,Representación proporcional,Aguascalientes,2,,I-291
62-342,Yáñez Robles Elizabeth Oswelia,Representación proporcional,Guanajuato,2,,I-293
62-617,Chávez Arias Norma Elizabeth,Mayoría Relativa,Jalisco,11,Guadalajara,K-389
62-340,Talamante Lemas Dora María Guadalupe,Representación proporcional,Sonora,1,,C-064
62-592,Adán Abellaneda José,Mayoría Relativa,Guerrero,2,Iguala,H-276
62-593,Domínguez Maganda Eduardo Enrique,Mayoría Relativa,Guerrero,3,Zihuatanejo,A-021
62-262,Llanas Alba José Alejandro,Mayoría Relativa,Tamaulipas,3,Río Bravo,C-059
62-591,Ramírez Juárez Ignacio,Mayoría Relativa,Guerrero,1,Ciudad Altamirano,L-453
62-596,Higuera Fuentes José,Mayoría Relativa,Guerrero,6,Chilapa,K-410
62-597,Marroquín Cristóbal Víctor Efigenio,Mayoría Relativa,Guerrero,7,Chilpancingo de los Bravo,H-273
62-349,Ramírez Diez Gutiérrez María Concepción,Representación proporcional,San Luis Potosí,2,,B-032
62-267,Pacheco Díaz Germán,Mayoría Relativa,Tamaulipas,8,Tampico,A-004
62-988,Olvera Caballero José Ignacio,Representación proporcional,México,5,,C-077
62-31,Grajales Palacios Francisco,Mayoría Relativa,Chiapas,7,Tonalá,K-381
62-36,Díaz Athié Antonio De Jesús,Mayoría Relativa,Chiapas,12,Tapachula,J-336
62-983,Sánchez Lira Ma. De los Ángeles,Representación proporcional,México,5,,C-071
62-982,Pereyra Ramírez Edgar Emilio,Representación proporcional,México,5,,D-110
62-984,Hidalgo Durán Vicente,Representación proporcional,México,5,,D-109
62-987,Díaz Magaña Daniela,Representación proporcional,Michoacán,5,,C-079
62-986,Valencia Pérez Ulises Iván,Representación proporcional,Michoacán,5,,A-019
62-347,Argüelles Loya Consuelo,Representación proporcional,Nuevo León,2,,D-092
62-914,Castellanos Mijares Carlos Octavio,Representación proporcional,Chiapas,3,,I-300
62-196,García García Héctor,Mayoría Relativa,Nuevo León,11,Guadalupe,M-473
62-402,Melchor Vásquez Angélica Rocío,Representación proporcional,Oaxaca,3,,B-043
62-911,López Rosado Roberto,Representación proporcional,Oaxaca,3,,L-454
62-351,Sampayo Ortíz Ramón Antonio,Representación proporcional,Tamaulipas,2,,G-209
62-35,Pérez Anzueto Hugo Mauricio,Mayoría Relativa,Chiapas,11,Huixtla,K-382
62-345,Muñoz Márquez Juan Carlos,Representación proporcional,Guanajuato,2,,A-001
62-130,Zacarías Capuchino Dario,Mayoría Relativa,México,5,Teotihuacán de Arista,F-186
62-131,Ruíz Moronatti Roberto,Mayoría Relativa,México,6,Coacalco de Berriozábal,G-227
62-132,Del Moral Vela Paulina Alejandra,Mayoría Relativa,México,7,Cuautitlán Izcalli,H-269
62-133,Calzada Arroyo Marco Antonio,Mayoría Relativa,México,8,Tultitlán de Mariano Escobedo,G-230
62-134,Manzur Quiroga José Sergio,Mayoría Relativa,México,9,Ixtlahuaca de Rayón,I-310
62-135,Flores Gómez José Luis Cruz,Mayoría Relativa,México,10,Ecatepec de Morelos,I-316
62-136,Alvarado Sánchez Brenda María Izontli,Mayoría Relativa,México,11,Ecatepec de Morelos,F-184
62-137,Navarro De Alba César Reynaldo,Mayoría Relativa,México,12,Ixtapaluca,M-493
62-138,Moreno Árcega José Isidro,Mayoría Relativa,México,13,Ecatepec de Morelos,F-189
62-139,Márquez Velasco Silvia,Mayoría Relativa,México,14,Ciudad Adolfo López Mateos,G-226
62-254,Bojórquez Javier Claudia Elizabeth,Mayoría Relativa,Tabasco,1,Macuspana,I-327
62-191,Coronado Quintanilla Alberto,Mayoría Relativa,Nuevo León,6,Monterrey,C-060
62-86,Gómez Ramírez Raúl,Mayoría Relativa,Guanajuato,10,Uriangato,E-139
62-341,Villarreal García Luis Alberto,Representación proporcional,Guanajuato,2,,D-096
62-751,Gutiérrez Landavazo Lorena,Mayoría Relativa,Sonora,5,Hermosillo,C-053
62-614,Martínez García Álvaro,Mayoría Relativa,Jalisco,8,Guadalajara,K-394
62-616,Guzmán Cervantes Carlos Bernardo,Mayoría Relativa,Jalisco,10,Zapopan,H-249
62-120,Aubry De Castro Palomino Enrique,Mayoría Relativa,Jalisco,14,Guadalajara,I-307
62-321,Ayala Robles Linares Flor,Representación proporcional,Sonora,1,,A-011
62-448,Tapia Fonllem Margarita Elena,Representación proporcional,Distrito Federal,4,,E-147
62-260,Salinas Mendiola Glafiro,Mayoría Relativa,Tamaulipas,1,Nuevo Laredo,F-169
62-524,De la Vega Preciado Dunia Eliane,Mayoría Relativa,Colima,2,Manzanillo,K-377
62-159,Curi Naime Alberto,Mayoría Relativa,México,34,Toluca,I-312
62-148,Gómez Carmona Blanca Estela,Mayoría Relativa,México,23,Valle de Bravo,G-225
62-261,Prieto Herrera Humberto Armando,Mayoría Relativa,Tamaulipas,2,Reynosa,D-099
62-440,Mota Ocampo Gisela Raquel,Representación proporcional,Morelos,4,,K-414
62-441,Ávila Pérez José Ángel,Representación proporcional,Distrito Federal,4,,K-408
62-442,García Medina Amalia Dolores,Representación proporcional,Distrito Federal,4,,I-321
62-443,Belaunzarán Méndez Fernando,Representación proporcional,Distrito Federal,4,,G-233
62-444,Luna Porquillo Roxana,Representación proporcional,Puebla,4,,A-022
62-445,Sánchez Torres Guillermo,Representación proporcional,Distrito Federal,4,,J-368
62-446,Nolasco Ramírez Yesenia,Representación proporcional,Distrito Federal,4,,H-278
62-447,Batres Guadarrama Martí,Representación proporcional,Distrito Federal,4,,M-499
62-263,García González Carlos Alberto,Mayoría Relativa,Tamaulipas,4,H. Matamoros,H-247
62-264,Cárdenas del Avellano Enrique,Mayoría Relativa,Tamaulipas,5,Victoria,K-399
62-265,De la Cruz Requena Rosalba,Mayoría Relativa,Tamaulipas,6,Ciudad Mante,K-398
62-109,González Gómez Cecilia,Mayoría Relativa,Jalisco,3,Tepatitlán de Morelos,L-435
62-108,Pérez de Alba José Noel,Mayoría Relativa,Jalisco,2,Lagos de Moreno,M-472
62-586,Mendoza Jiménez Yatziri,Mayoría Relativa,Guanajuato,10,Uriangato,E-139
62-581,Espino Cano Viridiana Lizette,Mayoría Relativa,Guanajuato,5,León,G-204
62-266,Orta Coronado Marcelina,Mayoría Relativa,Tamaulipas,7,Ciudad Madero,F-162
62-583,Rangel Pacheco Norma Elena,Mayoría Relativa,Guanajuato,7,San Francisco del Rincón,E-142
62-101,Muñiz Martínez Dulce María,Mayoría Relativa,Hidalgo,2,Ixmiquilpan,F-179
62-100,Badillo Ramírez Darío,Mayoría Relativa,Hidalgo,1,Huejutla de Reyes,F-178
