id,motion:name,motion:text,motion:description,order,motion:name:hu,motion:text:hu,motion:description:hu
26,Euro-záruka na tovar,Tovar zakúpený v EÚ by malo byť možné reklamovať u rovnakej firmy v akejkoľvek krajine EÚ.,"Obyčajne nemožno reklamovať tovar u pobočky rovnakej firmy v inej krajine EÚ. Napr. v rámci Slovenska, to ale zo zákona možné je.",23,EU-s jotállás,Egyazon gyártó termékeinek jótállását minden EU tagállamban lehessen a vásárlás helyszínétől függetlenül érvényesíteni ,"Noha Szlovákiában lehetséges, számos tagállam nem biztosítja más országban vásárolt termékek jótállásának érvényesítését."
27,Euro-živnosť,Živnostenský list by mal stačiť na výkon daného remesla či podnikania po celej EÚ.,V súčasnej dobe nie je možné na základe napr. slovenského živnostenského listu dlhodobo podnikať v ČR. Ale rovnaký živnostenský list platí po celej Slovenskej republike.,,EU-s vállalkozói igazolvány,"A vállalkozói igazolvány elég kéne, hogy legyen az egyéni vállalkozáshoz az egész EU-ban.",
28,Erasmus na stredných školách,Erasmus by mal byť rozšírený aj na stredné školy.,"Program Erasmus podporuje študentov vysokých škôl, aby časť štúdia prebehla v inej krajine EÚ. Náklady na Erasmus z rozpočtu EÚ sú teraz zhruba 2 miliardy eur ročne.",25,Erasmus a középiskolákban,Az Erasmus programot ki kellene terjeszteni a középiskolákra is.,"Ez Erasmus egyetemisták külföldi tanulmányait támogatja, a program költségvetése évi 2 milliárd Euró."
29,Rovnaké sadzby DPH,Sadzby DPH by mali byť zjednotené v celej EÚ.,"Výška dane z pridanej hodnoty je v právomoci členských krajín a je rôzna v ​​celej EÚ, základná sadzba od 15 do 27%, ale napr. u potravín je to medzi 0 a 27%. Tieto rozdiely niektorých obchodníkov zvýhodňujú a iných znevýhodňujú.",,Egységes ÁFA,"Az egész EU-ban egységes ÁFA kéne, hogy legyen.",
30,Registrácia auta,Registrácia auta by mala platiť v celej EÚ.,"Teraz je nutné pre auto kúpené v inej krajine EÚ zariadiť špeciálne ""prevozné číslo"", krátkodobé povinné ručenie a po dovoze ho preregistrovať. Staršie autá nemožno v inej krajine EÚ kupovať vôbec.",,Autó regisztrálása,"Az autó regisztrálása az egész EU-ban érvényes kéne, hogy legyen.",
31,Dohoda EÚ-USA,"Zmluva o ""Transatlantickom partnerstve pre obchod a investície"" (TTIP) medzi EÚ a USA by mala byť schválená.","Zástancovia dohody argumentujú, že posilní ekonomiku EÚ. Kritici varujú, že EÚ ani jej členské štáty nebudú môcť napr. účinne regulovať ťažbu bridlicového plynu, pestovanie geneticky upravených plodín alebo finančnú sféru.",12,EU-USA szabadkereskedelmi megállapodás,Az EU es USA közti szabadkereskedelmi megállapodást jóvá kell hagyni.,Az egyezmény támogatói szerint a megállapodás az EU gazdasági teljesíményének növekedéséhez fog vezetni. Ellenzői szerint a tagállamok ezt követően nem fogják tudni korlátozatni például a palagáz vagy a génmódosított növények természtését.
32,Diaľničná známka,Mala by existovať špeciálna diaľničná známka (alebo podobný systém) platná v celej EÚ.,"V súčasnej dobe v 7 krajinách EÚ existujú diaľničné známky a v ďalších 10 sa platí mýto. Naopak povinné ručenie - ""zelená karta"" - platí po celej EÚ.",6,Autópálya matricák,Léteznie kéne az egész EU-ra érvényes autópálya matricának.,"Jelenleg 7 EU-s országban használak autópálya matricát, 10-ben szednek útdíjat. A kezdeményezés támogatói szerint a biztosítási zöldkártyához hasonlóan az egész EU-ra érvényes autópálya matricát kellene bevezetni."
33,Žiarovky,Predaj žiaroviek nad 60W by mal byť opäť povolený.,"Nariadenie EÚ zakazuje predaj žiaroviek nad 60W. Bolo zavedené z dôvodu obmedzenia plytvania energiou. Podobné platí napr. aj vo Švajčiarsku, Rusku, Austrálii, Kanade alebo Brazílii. Oponenti argumentujú, že alternatívy k žiarovke sú drahšie a nehodia sa na všetky použitia.",15,Villanykörték,Ismét engedélyezni kellene a 60W-nál erősebb villanykörték árusítását ,"Energiatakarékosság céljából az EU tiltja a 60W-nál erősebb izzók használatát. Egyesek szerint ez helyes döntés, mások szerint nem helyettesíthetőek minden esetben a 60W-nál erősebb izzók, vagy sokkal drágábbak."
34,Polícia EÚ,Polícia EÚ by sa mala zväčšiť.,"V súčasnej dobe na úrovni EÚ pôsobí len Europol s menej než 1000 zamestnancami. Podľa zástancov by zväčšenie tejto inštitúcie zvýšilo bezpečnosť, podľa odporcov by polícia mala zostať v právomoci členských štátov.",16,EU-s rendőrség,Növelni kellene az EU-s rendőrség létszámát.,"Az Europol csupán 1000 fős létszámmal működik. A kezdeményezés támogatói szerint a létszám növelése javítaná az intézmény hatékonyságát, és növelné a biztonságot. Ellenzői szerint ezt a kérdést tagállami szinten kell megoldani."
35,Nižšie dotácie pre poľnohospodárstvo ,Dotovanie poľnohospodárov z peňazí EÚ by sa malo znížiť.,"Viac ako 1/3 rozpočtu EÚ ide na podporu poľnohospodárstva, z najväčšej časti na priame dotácie poľnohospodárom. Podľa zástancov podpora poľnohospodárstva zvyšuje sebestačnosť EÚ oproti dovozu potravín z krajín mimo EÚ a zvyšuje životnú úroveň na vidieku. Podľa odporcov je príliš nákladná a zvyšuje ceny pre zákazníkov.",5,Mezőgazdasági támogatások csökkentése,Csökkenteni kellene az EU-ban folyosított mezőgazdasági támogatások mérékét,"Az EU költségvetésének több mint egyharmadát az agrártámogatások teszik ki. Ellenzői szerint ez torzítja a piacot és magasan tartja az árakat. Támogatói szerint a mezőgazdasági támogatások segítik a mezőgazdaságból élők életszínvonalának felzárkóztatását, és csökkentik az élelmiszerbehozatalt nem EU-s országokból."
36,Dáta o cestujúcich do USA,Letecké spoločnosti by mali ďalej posielať údaje o cestujúcich do USA.,"Letecké spoločnosti sú teraz nútené posielať všetky údaje o cestujúcich do USA tamojšiemu ministerstvu vnútornej bezpečnosti, ktoré ich podľa dohody s EÚ legálne ukladá na 10 rokov. Zástancovia obhajujú tieto opatrenia bojom proti terorizmu. Oponenti poukazujú na slabú ochranu týchto dát proti zneužitiu.",,Információk az USA-ba utazókról,Az utasszállító vállalatoknak továbbra is küldeni kéne az információkat az USA-ba utazókról.,
37,Dĺžka copyrightu,Lehota ochrany autorských diel by sa mala v EÚ skrátiť.,"Autorské diela ako knihy alebo filmy sú v EÚ chránená po dobu 70 rokov od úmrtia autora, hudba po dobu 50 rokov. Obhajcovia argumentujú tým, že bez takejto ochrany, by niektoré diela ani nevznikli. Kritici upozorňujú, že takto dlhá ochrana obmedzuje tvorbu odvodených diel, a že táto ochrana pôvodne fungovala len ako ochrana autora pred vydavateľom, nie pre nekomerčné využitie.",17,Szerzői jogok,Csökkenteni kellene az EU-ban a szerzői jogok érvényességének hosszát,"Könyvek és filmek a szerző halálát követően 70 évig szerzői jogi védelem alatt álnak, zeneművek esetében csupán 50 évig. Egyesek szerint a túl hosszú szerzői jog akadályozza rengeteg származtatott mű létrejöttét, terjesztését, holott a szerzői jog célja nem a non-profit felhasználás tiltása volna, hanem a szerzők védelme a kiadókkal szemben. Mások szerint a szigorú szerzői jogi szabályozás nélkül számos mű nem jött volna létre."
38,Obmedzenia voľného pohybu pracovníkov,Krajiny EÚ by mali mať možnosť obmedziť zamestnávanie občanov z iných krajín EÚ.,"Voľný pohyb zamestnancov (možnosť byť zamestnaný v akejkoľvek krajine EÚ) je jednou zo základných slobôd v EÚ. Kritici argumentujú napr. zneužívaním sociálneho systému cieľovej krajiny. Obhajcovia ukazujú, že krajina, kde ľudia z iných krajín pracujú, na tom celkovo ekonomicky zarába.",,A munkavállalók szabad áramlásának korlátozása,"Az EU-s államoknak lehetőségük kéne, hogy legyen a külföldről érkező munkások számának limitálására.",
39,,,,,A költségvetési megállapodás,Szlovákiának csatlakoznia kéne a költségvetési megállapodáshoz.,
40,Tuzemský rum a nátierkové maslo,EÚ by mala prestať určovať podrobné normy pre potraviny.,"V EÚ existujú normy, ktoré okrem iného vyhradzujú predajné označenie 'maslo' pre produkty obsahujúce aspoň 80% mliečneho tuku, odtiaľ pochádza povinnosť stiahnuť názov 'nátierkové maslo', ktoré obsahuje tuku výrazne menej. Podobne 'rum' musí obsahovať alkohol z cukrovej trstiny, čomu tak nie je v prípade 'tuzemského rumu'.",26,Élelmiszerek,Az EU-nak nem szabadna meghatároznia pontos normákat az élelmiszerek esetében.,"Az EU-ban számos norma határozza meg az élelmiszerek típusát. Vajnak például csak olyan termék minősülhet, amelynek legalább 80% a zsírtartalma. Hasonló szabályozás érvényes a rumra is, csak olyan szesz nevezhető rumnak, amely cukornádból készül, szlovák rumnak ellenben más az alapanyaga, ezért nem forgalmazható rumként."
41,,,,19,Euró,Csehországban be kéne vezetni az eurót 2020-ig.,
42,Slovenská koruna,Slovenská republika by sa malo vrátiť ku slovenskej korune.,"Eurom sa platí v 18 krajinách EÚ a niekoľkých ďalších mimo EÚ. Zo susedných krajín sa používa euro len v Rakúsku. V Českej republike, v Poľsku, v Maďarsku a na Ukrajine nie. Členské štáty sa vstupom do EÚ zaviazali k prijatiu Eura. Podľa zástancov je používanie Eura ekonomicky výhodné, podľa odporcov tomu tak nie je.",1,Szlovák korona,Szlovákiának az Euro helyett ismét be kellene vezetnie a szlovák koronát.,"18 tagállamban használják az Eurót fizetési eszközként, Szlovákia szomszédai közül azonban csak Ausztriában. Egyes közgazdászok szerint az Euró inkább előnyt jelent a szlovák gazdaság számára, míg mások ennek az ellenkezőjét állítják. "
43,Vystúpenie z EÚ,Slovensko by malo vystúpiť z EÚ.,"Európsku úniu tvorí 28 krajín. Mimo EÚ je v Európe napríklad Ukrajina, Bielorusko, Švajčiarsko alebo Nórsko.",,Kilépés az EU-ból,Szlovákiának ki kellene lépnie az EU-ból.,"Az EU-nak 28 tagállama van, néhány európai ország, mint Norvégia, Svájc, Ukrajna, Fehéroroszország nem tagjai az EU-nak."
100,,,,,Krízis Ukrajnán,Az EU-nak nem szabadna reagálnia Szlovákia lépéseire az ukrán krízis esetében.,
