id,order,motion:text:en,motion:name:en,motion:description:en,motion:text,motion:name,motion:description
16,16,The EU should increase the amount of money it spends on foreign aid.,EU aid for the poor,,Az EU-nak több forrást kellene biztosítania a nemzetközi fejlesztésre és segélyezésre.,Uniós segélyezés,"Az EU komoly fejlesztési segélyeket biztosít szegényebb, az EU-n kívüli országok számára. Az intézmény támogatói szerint a segélyek segítik a célországokat, megelőzik a gyors népességnövekedést (baby boom), és visszaszorítják a kivándorlást a fejlettebb országokba, például az EU tagállamaiba. Az ellenzők szerint a segélyek nagy részét a kormányok és bűnözői csoportok eltulajdonítják, így a segélycsomagok nem jutnak el azokhoz, akiknek valóban szükségük van rájuk."
17,17,"There should be Eurobonds, whereby all Eurozone countries can be guarantors when one of them takes out a loan.",Eurobonds,,"Be kellene vezetni az eurókötvényt, amely révén az eurózóna országai közösen kezeskedhetnek egy tagállam által felvett kölcsönért.",Eurokötvény,"Az eurókötvény-hálózat segítségével a befektetők hiteleket adhatnak az eurózóna területén. Az eurókötvény segíthet kilábalni a válságból a hitelek költségeinek csökkentésével olyan országoknak, mint pl. Görögország vagy Portugália. Az ellenzők szerint fennáll annak a veszélye, hogy a tagállamok az alacsonyabb kockázatok miatt felelőtlenül viselkedhetnek."
18,18,Member states must recognise same-sex marriages conducted in other EU countries.,Same-sex marriage,,A tagállamoknak el kell ismerniük a más országban kötött házasságot azonos nemű párok esetében is.,Azonos neműek házassága,"Az Emberi jogok Európai Bírósága 2010-es döntése alapján az azonos neműek közötti házasságkötés nem tartozik az elidegeníthetetlen emberi jogok közé, így a tagállamokat nem kényszerítik ennek engedélyezésére vagy elismerésére. A támogatók a homoszexuális pároknak is ugyanilyen egyenlő jogokat követelnek. Az ellenzők nem ismerik el az azonos neműek közötti házasságkötést - például vallási okok miatt."
19,19,The rules for accommodating asylum-seekers should be the same in every EU country.,Asylum issues,,A menekültekkel kapcsolatos szabályozás legyen azonos minden európai országban.,Menekültügy,"Támogatói szerint a menedékjogot kérelmezők elhelyezésének közösségi szintre emelése segítene a menekülteknek és megelőzhetné, hogy egyik EU tagállamból a másikba vándoroljanak. Az ellenzők véleménye az, hogy minden ország helyzete különbözik ebben a tekintetben, így a szabályozását az országoknak kell megoldaniuk."
20,20,The EU should be able to raise European taxes to replace member states contributions.,European taxes,,"Az Európai Uniónak adókivetési jogot kellene adni, hogy ezzel helyettesíthesse a tagállami hozzájárulásokat a közös költségvetéshez.",Európai adók,Jelenleg az EU bevételeinek döntő része a tagállamok GDP-arányos hozzájárulásaiból származik. A közös európai adózás bevezetése az EU költségvetését függetlenítené a tagállamoktól.
21,21,EU should not react to the situation in Ukraine.,Situation in Ukraine,,Az Európai Uniónak nem kellene reagálnia az Ukrajnában kialakult helyzetre.,Ukrajnai helyzet,"Az uniós fellépés támogatói szerint az Uniónak egységesen kellene fellépnie a Krím megszállásával szemben. Az ellenzők szerint minden tagállam maga dönthesse el, milyen lépéseket támogat vagy ellenez."
22,22,Establishment of the United States of Europe is the final purpose of the European Union.,United States of Europe,,Az Európai Unió céljaként kellene megjelölni az Európai Egyesült Államok megteremtését.,Európai Egyesült Államok,Az Európai Egyesült Államok támogatói szerint az Unió célja egy európai szuperállam létrejötte. Az ellenzők a tagállami-nemzeti szuverenitás feladását nem tartanák követendőnek.
23,23,The Erasmus program should be extended to secondary schools as well.,Erasmus,,Az Erasmus programot ki kellene terjeszteni a középiskolákra is.,Erasmus,Jelenleg a külföldi intézményekben való tanulást az Erasmus program csak a felsőoktatásban teszi lehetővé.
24,24,The same level of VAT tax should be introduce in all EU Member States.,VAT tax,,"Az egész Európai Unióban egységesen, ugyanolyan mértékű ÁFÁ-t kelljen fizetni.",ÁFA,Az egységes ÁFA szűkítené a nemzeti kormányok lehetőségeit az adópolitika meghatározása tekintetében. Jelenleg Magyarországon a legmagasabb az ÁFA mértéke az uniós tagállamok közül.
25,25,All member countries should get the opportunity to restrict the number of employees from other EU countries.,Number of foreigner employees,,"Minden tagországnak lehetőséget kellene adni arra, hogy korlátozza az EU-n belülről, de más országból érkező munkavállalók számát.",Munkavállalók száma,"A más uniós országokból, főként Közép- és Kelet-Európából érkező olcsóbb munkaerő és a fogalkoztatási célú bevándorlás korlátozása elsősorban a nyugat-európai országokban vetődött fel lehetőségként."
26,26,Hungary should adopt the Euro as soon as possible.,Introduction of euro,,Magyarországon minél előbb be kell vezetni az eurót.,Euró bevezetése,"Az euró bevezetése az inflációs politika feladását jelenti, ugyanakkor csökkenti a tranzakciós költségeket, ösztönzőleg hathat a külkereskedelemre és alacsonyabb reálkamatokhoz vezethet."
27,27,MEP's should be elected by voting for European parties.,EP-elections,,"Az európai képviselők megválasztásánál ne a nemzeti, hanem az európai pártokra lehessen szavazni.",EP-választás,"Az intézkedéssel megnőne az Európai Parlament legitimációja a javaslat támogatói szerint. Az ellenzők szerint az országgyűlési választáson is induló nemzeti pártok megfelelően látják el azt funkciót, hogy jelöltjeik képviseljék a magyar választókat az Európai Parlamentben."
28,28,The European Union must be empowered to punish by withdrawal of funds the Member States violating the democratic rules.,Democratic minimum,,"Az Európai Uniót fel kell hatalmazni arra, hogy pénzek megvonásával büntethesse a demokratikus szabályokat megsértő tagállamokat.",Demokrácia-minimum,"Az elmúlt években több tagállammal - pl. Romániával és Magyarországgal - szemben merült fel annak lehetősége, hogy a demokráciát sértő kormányzati intézkedések miatt az EU-t fel kellene hatalmazni egy hatékony, de a tagsági jogviszony felfüggesztésénél kevésbé drasztikus eszközzel ezek megakadályozása végett."
29,29,The EU Member States need a common energy policy.,Energy policy,,Az Európai Unióban közös energiapolitikára van szükség.,Energiapolitika,"A közös energiapolitika lehetővé tenné az energiaellátás összehangolását az Unióban, ugyanakkor az energetika kikerülne a nemzeti kormányok által meghatározott szakterületek sorából."
30,30,Border control should be abolished in all EU Member States.,Abolition of borders,,A határellenőrzést meg kellene szüntetni az EU összes tagállama között.,Határok eltörlése,"Jelenleg csupán az úgynevezett Schengeni övezet tagállamai között nincs határvizsgálat (Magyarország részese a megállapodásnak). A javaslat támogatói szerint ezt ki kellene terjeszteni az összes uniós tagállamra, így például az Egyesült Királyságra, Írországra és a nem teljes jogú aláírókra (Románia, Bulgária, Ciprus, Horvátország) is."
