id,motion:name,motion:text,motion:description,order,motion:name:en,motion:text:en
13,Prokázání majetku,Měl by existovat zákon o prokázání nabytí majetku s možností zabavení neprokázaného majetku.,"Na Slovensku platí zákon o prokazování nabytí majetku (nad přibližně 10 miliónů Kč). Pokud majitel nebude moci prokázat legální nabytí majetku, může o něj přijít. Podle zastánců je to důležité opatření v boji proti systémové korupci, podle oponentů má zákon zpětnou účinnost a zavádí situaci, kdy obviněný musí dokazovat svoji nevinu.",13,Proof of property acquisition,There should be a law on proof of an acquisition of a property with a possibility of confiscation of an unproven property?
14,Výuka romštiny,"Měla by se podporovat možnost výuky romštiny jako volitelného předmětu, pokud o ni bude mezi žáky zájem.","V ČR platí zákon, že národnostní menšiny mají právo na výuku ve svém jazyce. Zatímco v ČR fungují školy např. v polštině, romština není v ČR ani volitelným předmětem (mj. nejsou vyškolení učitelé). Např. na Slovensku místy je.",14,Romani language teaching,The possibility to teach Romani language should be encouraged (if there is an interest among the pupils)
15,Omezení imunity,"Imunita poslanců a senátorů by měla být omezena tak, že by se vztahovala jen na proslovy v Parlamentu.","Poslanci a senátoři nemohou být trestně stíháni, pokud je Parlament odmítne vydat. V takovém případě už za daný skutek nemohou být stíháni nikdy. Podle zastánců jde o pojistku proti politickému pronásledování zákonodárců, podle odpůrců brání imunita v legitimním vyšetřování trestné činnosti zákonodárců.",,Immunity restrictions,Immunity of MPs and Senators should be limited to speeches in the Parliament only.
16,Zrušení regulačních poplatků,Regulační zdravotnické poplatky by měly být zrušeny.,"V ČR byly zavedeny regulační poplatky za zdravotní úkony a za pobyt v nemocnicích. Podle zastánců zabraňují plýtvání zdravotní péčí, podle odpůrců vedou ke zhoršení dostupnosti zdravotní péče zejména pro sociálně slabé pacienty. Podobné poplatky existují v řadě zemí, jako je Slovensko nebo Německo, jinde jsou neznámé.",,The abolition of regulatory fees,"The ""regulatory medical fees"" should be abolished."
17,Zákaz interupce,"Interrupce by měla být zakázána až na výjimečné případy, jako je znásilnění či ohrožení života matky.","Interrupce na žádost matky je v ČR možná stejně jako např. na Slovensku, v Rakousku či na Ukrajině. V Polsku je naopak zakázána až na určité výjimečné případy. Podle zastánců je právo na potrat základním právem ženy, podle odpůrců je nemorální.",,The induced abortion ban,The induced abortion should be banned except in exceptional cases as rape or endangering of mother's life
18,Zrušení Senátu,Senát by měl být zrušen.,"Při volbách do Senátu je dlouhodobě nejnižší účast (srovnatelná jen s účastí v „eurovolbách“). Podle zastánců Senát plní funkci ""pojistky"" a pomáhá při vytváření kvalitnějších zákonů, podle odpůrců jde o zbytečnou instituci. Obdoba Senátu existuje v Polsku, např. v Německu jsou „senátory“ zástupci zemských vlád. Na Slovensku a v Maďarsku Senát není.",18,Senate abolition,Senate should be abolished
19,Zrušení 2. důchodového pilíře,Tzv. druhý pilíř důchodové reformy by měl být zrušen.,V roce 2013 byl zaveden tzv. druhý pilíř důchodového systému. Ten umožnil přesun 3 % ze sociálního pojištění a další 2 % ze mzdy do soukromého penzijního fondu. Do 2. pilíře vstoupili zatím asi 80 000 lidí. Nyní se plánuje jeho zrušení.,,Annulment of a second pillar,So called second pillar of the pension reform should be abolished
20,Poplatek za prázdná média (zrušení),Měl by být zrušen poplatek za prázdná média.,"V ČR je nutno z každého prázdného nosiče informací jako je paměťová karta do foťáku, počítačový disk apod., i z každého rozmnožovacího zařízení jako kopírka zaplatit poplatek, aby se tak kompenzovalo kopírování pro vlastní potřebu. Ten jde organizacím (např. OSA nebo DILIA), které zastupují část autorů.",,The blank media fee (cancelation),The blank media fee should be abolished
21,Adopce homosexuály,Homosexuální páry by měly mít možnost adoptovat děti.,"V současné době mohou homosexuální páry uzavírat tzv. registrované partnerství, nemohou ovšem adoptovat děti. Adopce homosexuálními páry je legální např. v Nizozemí, ve Švédsku či v Norsku.",21,Gay adoption,Gay couples should have the possibility to adopt children
22,Klouzavý mandát,Měl by být zaveden tzv. klouzavý mandát.,"V ČR je možné i běžné, že ministři vlády jsou zároveň poslanci nebo senátory. Podle zastánců je kumulace funkcí prospěšná díky přenosu znalostí a zkušeností, podle odpůrců je těžko zvládnutelná. V řadě zemí existuje takzvaný „klouzavý mandát“ – za poslance nastupuje po dobu jeho členství ve vládě dočasný náhradník.",,Sliding mandate,"A ""sliding mandate"" should be implemented in the Parliament"
23,Ústav pro studium totalitních režimů,Měl by být zachován Ústav pro studium totalitních režimů.,"V ČR existujen tzv. Ústav pro studium totalitních režimů zabývající se ""obdobím nacistické a komunistické totalitní moci"", jehož Radu jmenuje Senát. Podle zastánců pomůže zabránit zkreslování historie, podle odpůrců nemůže být ústav politicky nestranný.",23,The Institute for the Study of Totalitarian Regimes,The Institute for the Study of Totalitarian Regimes should continue to exist.
24,Zákaz jízdy kamionů,Zákaz jízdy kamionů by měl být oproti současnému stavu rozšířen.,"Na silnicích v ČR platí nyní zákaz jízdy kamionů v neděli odpoledne a večer. Podle zastánců pomáhá toto opatření snížit dopravní zátěž tranzitních obcí, podle odpůrců omezení přepravy zboží snižuje hospodářský růst.",24,Truck driving ban,Truck driving ban should be expanded
25,Návrh zákona - petice,Občané by měli mít možnost předložit návrh zákona pomocí petice.,"V ČR mají zákonodárnou iniciativu pouze poslanci, vláda, Senát a zastupitelstvo kraje. V řadě zemí mohou navíc občané předložit zákon do Parlamentu přímo, a to pomocí petice.",25,Draft law - petition,Citizens should have the possibility to suggest a law through petition.
26,Volby po internetu,Měla by být zavedena možnost volit po internetu.,"Volit po internetu je možné např. v Estonsku. Podle zastánců to usnadňuje účast ve volbách, podle odpůrců počítačové systémy nejsou zcela bezpečné a existuje riziko volebního podvodu.",26,Electronic voting,Possibility of electronic voting in elections should be implemented
27,Zákaz mešit,V ČR by měla být zakázána stavba mešit.,"V ČR nyní stojí několik mešit a jiných muslimských modliteben. Podle zastánců jejich výstavby jde o vyjádření svobody vyznání, podle odpůrců existence mešit v ČR není v souladu s křesťanskou tradicí země.",27,Mosque ban,Construction of mosques should be banned in the Czech Republic.
28,Trest smrti,V ČR by měl být zaveden trest smrti.,"V ČR a v řadě dalších evropských zemí je nyní trest smrti nepřípustný. Podle jeho zastánců pomáhá díky své odstrašující funkci snižovat kriminalitu, podle odpůrců je nemorální a hrozí jeho zneužití a justiční omyly.",,Death penalty,Death penalty should be introduced in the Czech Republic
29,Veřejné platy státních úředníků,Stát by měl platy a odměny vrcholných politiků a vysokých státních úředníků pravidelně zveřejňovat.,"V ČR jsou nyní platy a odměny politiků a státních úředníků neveřejné. Je možné o ně požádat na základě zákona o svobodném přístupu k informacím, úřady ale často odmítají údaje vydat. Např. ve Velké Británii jsou platy vysokých státních úředníků zveřejňovány státem.",,,Government should regularly publish salaries and bonuses of senior politicians and officials
30,Dohoda EU-USA,"Smlouva o ""Transatlantickém partnerství pro obchod a investice"" (TTIP) mezi EU a USA by měla být v ČR schválena.","Zastánci dohody argumentují, že posílí ekonomiku EU. Kritici varují, že EU ani její členské státy nebudou moci např. účinně regulovat těžbu břidlicového plynu, pěstování geneticky upravených plodin nebo finanční sféru.",,EU - USA agreement,The contract on Transatlantic Trade and Investment Partnership between EU and USA should be approved by the Czech Republic
31,Kvóty pro ženy,Pro obsazování vysokých funkcí veřejných úřadů by měly být zavedeny kvóty pro ženy.,"V některých skandinávských zemích jsou zavedeny kvóty pro ženy při obsazování některých volených funkcí. Podle zastánců zabraňují kvóty diskriminaci žen, podle odpůrců porušují rovnost pohlaví před zákonem.",31,Gender quotas,Gender quotas should be introduced for senion positions in public offices 
32,Přímá volba prezidenta,Prezident by měl být i nadále volen přímo občany.,V ČR byla zavedena přímá volba prezidenta a první taková volba proběhla v roce 2013.,32,Direct election of the President,President should be elected directly by citizens.
33,Majetková přiznání politiků,Poslanci a senátoři by měli mít povinnost vyplňovat majetková přiznání ke dni nástupu do funkce. ,"Poslanci a senátoři dnes musí oznamovat majetek nabytý v době funkce. Chybí tak srovnání s výchozím stavem, což dle zastánců zpřísnění zákona neumožňuje ověřit pravdivost přiznání. ",33,Declaration of assets of politicians,MPs and Senators should be required to declare their assets on the date of taking office
34,Transparentní účetnictví stran,Politické strany by měly vést povinně transparentní účetnictví. ,"Podle zastánců povinného transparentního účetnictví stran tím např. dojde k omezení ""tunelování"" veřejných zakázek nebo evropských dotací ve prospěch politických stran. Odpůrci ukazují např. na zvýšení byrokracie pro politické strany.",,Transparent accounting of political parties,Political parties should have the duty to keep transparent accounting
35,Bionafta,Povinné přidávání biosložek do paliv by mělo být i nadále zachováno.,V současné době musí výrobci v ČR např. povinně přimíchávat 5 % bionafty do nafty vyrobené z ropy.,35,Biofuel,Compulsory addition of bio components into fuel should continue.
36,Snížení DPH na potraviny,Sazba DPH na základní potraviny by měla být nejvýše 10 %.,"Sazba DPH na potraviny v ČR 15 %. V Německu je to 7 %, v Polsku 5 % a v Rakousku 10 %. Na Slovensku 20 %.",36,Lower VAT on food,VAT rate on basic food should be no more than 10%
37,Provatizace Budvaru,Národní podnik Budějovický Budvar by měl být privatizován.,Budějovický Budvar je jediný státem vlastněný pivovar v ČR. Budvar je dlouhodobě ziskový. ,,,
38,Registrační pokladny,Měly by být zavedeny tzv. registrační pokladny.,Registrační pokladny jsou povinné na Slovensku nebo v Maďarsku.,38,Fiscal sach registers,Fiscal cash registers should be compulsory
39,Soudci doživotně,Soudci by nadále měli být jmenováni do funkce doživotně.,,39,Judges for life,Judges should continue to be appointed for life
40,Finanční podpora místo školek,Všechny děti od 3 let by měly mít místo ve veřejné školce nebo jejich rodiče dostat příspěvek na zajištění péče jiným způsobem.,V současné době je nedostatek míst ve školkách a to hlavně ve velkých městech. ,40,Financial support instead of kindergarten,All children above 3 should be entitled to attend a public kindergarten or their parents should receive financial assistance to care about them in another wya
41,České výrobky povinně,Obchodní řetězce by měly nabízet povinně předepsaný podíl potravin od českých výrobců.,,41,Czech food mandatory,Retail chains should offer a mandatory share of food from Czech producers
42,Snížení daně na benzin,Spotřební daň z pohoných hmot by se měla snížit alespoň o 1 Kč/litr.,Spotřební daň je v ČR 12.84 Kč/litr. Minimálně v EU může být zhruba 11.5Kč/litr. ,42,Excise tax on fuel,Excise tax on fuel should be reduced by at least 1 CZK/liter
43,Regulace ČNB nebankovních společností,Půjčky a úvěry by měly poskytovat výhradně subjekty s licencí od České národní banky.,"Tzv. nebankovní společnosti nabízející půjčky (z větších např. Provident, Cetelem) dnes nejsou regulovány Českou národní bankou, narozdíl od bank.",43,Non-banking companies regulation,Loans and credits should provide only entities licensed by the Czech National Bank
44,Daňové zvýhodnění pro starší lidi,Zaměstnaní lidé v předdůchodovém věku by měly být daňově zvýhodněni.,Mladí do 25 let a potom lidé nad 55 let mají v ČR nejvyšší míru nezaměstnanosti.,44,Tax advantages for older people,Eployees approaching close to retirement age should be tax-advantaged
45,Zvýšení daně na alkohol ,Spotřební daň na alkohol by se měla zvýšit.,"Spotřební daň na alkohol je 285 Kč/litr čistého lihu, tedy např. 57 Kč za půllitrovou láhev rumu.",45,Excise tax on alcohol,Excise tax on alcohol beverages should be higher
46,Rekonstrukce státu,Nejpozději do 3 let by měly být schváleny všechny zákony Rekonstrukce státu,"Rekonstrukce státu je iniciativa 19 neziskových organizací, která prosazuje přijetí následujících zákonů: zpřísnění financování politických stran, povinná majetková přiznání politiků, smlouvy státu či obcí povinně na internetu, omezení trafik ve státních firmách, zákon o úřednících, vyšší nezávislost státního zastupitelství, omezení přílepků k zákonům a možnost NKÚ kontrolovat např. i obecní firmy.",46,Reconstruction of the State,All laws proposed by Reconstruction of the State should be approved within next three years
