id,motion:text,motion:text:en,motion:text:es
6105,Er zijn mensen met een Nederlands paspoort én een paspoort van een ander land. De regering moet deze dubbele nationaliteit afschaffen.,Some people have a Dutch passport and a passport of another country. The government should abolish this dual nationality.,Hay personas que tienen el pasaporte holandés y otro pasaporte del pais de donde son originarios. El gobierno debe prohibir esta posibilidad de la doble nacionalidad.
6109,Criminele Antillianen moeten terug naar de Antillen en daar de gevangenis in.,Antilleans who commit crimes should be sent back to the Antilles and imprisoned there.,Criminales de origen antiliano tienen que regresar a Las Antillas y entrar ahí en prisión.
6133,Iemand met een koophuis mag de rente voor de hypotheek van de belasting aftrekken. Deze regeling moet minder voordelig worden voor mensen met hogere inkomens die een nieuwe hypotheek afsluiten.,A homeowner receives tax relief on mortgage interest. This scheme should be made less advantageous for people in the higher income groups who take out a new mortgage.,Los propietarios de viviendas pueden desgravar el interés de la hipoteca en la Declaración del Impuesto sobre la Renta. Esta medida no debe ser aplicable para la gente con ingresos altos.
6151,Verhuurders van woningen moeten zelf kunnen bepalen hoeveel huur ze vragen.,Landlords of residential property should be able to decide for themselves how much rent they will ask.,"El precio de las viviendas en alquiler, debe fijarse por los propietarios."
6108,Er mogen geen nieuwe moskeeën bijkomen.,No new mosques may be built.,No deben poderse abrir más mezquitas.
6150,Schiphol moet blijven groeien.,Schiphol Airport should continue growing.,El aeropuerto de Amsterdam (Schiphol) debe seguir creciendo.
6166,Er moeten meer wegen komen om de files te bestrijden.,More roads are needed to combat traffic congestion.,"Para solucionar el problema del tráfico, deben de construirse más carreteras."
6158,Nederland moet op termijn stoppen met kernenergie.,The Netherlands should abandon nuclear energy in due course.,A largo plazo Holanda debe parar de generar energía nuclear.
6154,De rechten van dieren moeten in de Grondwet komen.,The rights of animals should be safeguarded in the Constitution.,Los derechos de los animales deben estar incluidos en la Constitución.
6173,Turkije moet lid kunnen worden van de Europese Unie.,Turkey should be able to join the European Union.,Turquía debe ingresar en la Unión Europea.
6171,Nederland moet meer geld uitgeven aan defensie.,The Netherlands should spend more money on defence.,El gobierno de Holanda debe invertir más dinero en defensa.
6168,Nederland moet niet langer meedoen met de bouw van het gevechtsvliegtuig Joint Strike Fighter (JSF).,The Netherlands should no longer participate in the Joint Strike Fighter (JSF) programme.,Holanda no debe contribuir más a la construcción de los aviones militares Joint Strike Fighter (JSF).
