id,motion:name,motion:text,order,motion:name:cs,motion:text:cs
18,Staatliche Unterstützung von Studierenden,BAföG soll unabhängig vom Einkommen der Eltern gezahlt werden.,18,Federální finanční podpora na vzdělávání by měla být vyplácena bez ohledu na příjmy rodičů.,Federální finanční podpora na vzdělávání by měla být vyplácena bez ohledu na příjmy rodičů.
19,Grenzkontrollen,An allen deutschen Grenzen sollen wieder Einreisekontrollen durchgeführt werden.,19,Na všech německých hranicích by měly být opět prováděny vstupní kontroly.,Na všech německých hranicích by měly být opět prováděny vstupní kontroly.
20,Frauenquote,In Aufsichtsräten und Vorständen von Unternehmen soll eine gesetzliche Frauenquote gelten.,20,V dozorčích a správních radách podniků by měla být uplatňována zákonná kvóta pro zastoupení žen.,V dozorčích a správních radách podniků by měla být uplatňována zákonná kvóta pro zastoupení žen.
21,Länderfinanzausgleich,Finanzstarke Bundesländer sollen schwache Bundesländer weniger unterstützen müssen.,21,Finančně silné spolkové země by měly slabší státy méně podporovat.,Finančně silné spolkové země by měly slabší státy méně podporovat.
22,Rente mit 67,Das gesetzliche Renteneintrittsalter soll wieder gesenkt werden.,22,Zákonný věk odchodu do důchodu by měl být snížen.,Zákonný věk odchodu do důchodu by měl být snížen.
23,Migranten im Staatsdienst,Der Staat soll im öffentlichen Dienst verstärkt Menschen mit Migrationshintergrund einstellen.,23,Ve veřejných služnách by měl stát zaměstnávat více přistěhovalců.,Ve veřejných služnách by měl stát zaměstnávat více přistěhovalců.
24,Rüstungsexporte,Rüstungsexporte sollen verboten werden.,24,Měl by být zakázán export zbraní.,Měl by být zakázán export zbraní.
25,Einkommensteuer,Das Ehegattensplitting soll beibehalten werden.,25,Rozdělení daně z příjmů manželů by mělo zůstat zachováno.,Rozdělení daně z příjmů manželů by mělo zůstat zachováno.
26,EU-Beitritt der Türkei,Deutschland soll sich für einen Beitritt der Türkei zur Europäischen Union einsetzen.,26,Německo by mělo podpořit vstup Turecka do EU.,Německo by mělo podpořit vstup Turecka do EU.
27,Nebeneinkünfte,Abgeordnete des Bundestags sollen ihre Nebeneinkünfte auf den Euro genau offenlegen müssen.,27,Poslanci by měli povinně zveřejňovat své vedlejší příjmy.,Poslanci by měli povinně zveřejňovat své vedlejší příjmy.
28,EEG-Umlage,Energieintensive Industrien sollen sich stärker als bisher an der Finanzierung der Energiewende beteiligen müssen.,28,Energeticky náročná odvětví se budou muset více než dříve podílet na financování transformace energetiky.,Energeticky náročná odvětví se budou muset více než dříve podílet na financování transformace energetiky.
29,Sanktionen beim ALG II,"Hartz-IV-Empfängern und -Empfängerinnen sollen weiterhin Leistungen gekürzt werden, wenn sie Jobangebote ablehnen.",29,"Příjemcům podpory ve skupině Hartz-IV budou v případě, že odmítnou pracovní nabídku, sníženy dávky.","Příjemcům podpory ve skupině Hartz-IV budou v případě, že odmítnou pracovní nabídku, sníženy dávky."
30,Kirchensteuer,Der Staat soll weiterhin für Religionsgemeinschaften Kirchensteuer einziehen.,30,Stát by měl nadále vybírat církevní daně.,Stát by měl nadále vybírat církevní daně.
31,Bürgerversicherung,Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.,31,Všichni občané by měli být pojištěny ve veřejné zdravotní pojišťovně.,Všichni občané by měli být pojištěny ve veřejné zdravotní pojišťovně.
32,Eurobonds,In der Euro-Zone soll jeder Staat alleine für seine Schulden haften.,32,Každý stát eurozóny by měl být odpovědný za své vlastní dluhy.,Každý stát eurozóny by měl být odpovědný za své vlastní dluhy.
33,Adoptionsrechte für Schwule und Lesben,Auch gleichgeschlechtliche Lebenspartnerschaften sollen ein gemeinsames Adoptionsrecht erhalten.,33,Homosexuální partneři by měli mít stejná adopční práva jako heterosexuální páry.,Homosexuální partneři by měli mít stejná adopční práva jako heterosexuální páry.
34,Vorratsdatenspeicherung,"Keine Speicherung von Kommunikationsdaten (z.B. Telefon, Internet) ohne konkreten Anlass!",34,"Zákaz uchovávání dat elektronické komunikace (např. telefonních, internetových) bez konkrétního důvodu.","Zákaz uchovávání dat elektronické komunikace (např. telefonních, internetových) bez konkrétního důvodu."
35,Mietpreisbremse,Bei Neuvermietungen soll der Mietpreis nur begrenzt angehoben werden dürfen.,35,U nových pronájmů může být nájem zvýšen jen v omezené míře.,U nových pronájmů může být nájem zvýšen jen v omezené míře.
36,Doppelte Staatsangehörigkeit,Volljährige deutsche Staatsangehörige sollen keine weitere Staatsangehörigkeit besitzen dürfen.,36,Plnoletí němečtí občané nesmí mít jiné občanství.,Plnoletí němečtí občané nesmí mít jiné občanství.
37,Pkw-Maut,Die Nutzung von Autobahnen soll kostenpflichtig sein.,37,Dálnice by měly být placené.,Dálnice by měly být placené.
38,Volksentscheide,Einführung von Volksentscheiden auf Bundesebene!,38,Zavedení referend na federální úrovni.,Zavedení referend na federální úrovni.
