id,motion:name,motion:text,motion:description,order
11,Zníženie rozpočtu armády,Mali by sa znížiť výdavky na rozpočet armády (v % štátneho rozpočtu).,"Slovensko stojí armáda okolo 1 miliardy € ročne (okolo 5% štátneho rozpočtu). Napr. v ČR je to percentuálne podobné, je to zhruba 50 miliárd Kč.",11
12,Vystúpenie z EÚ,Slovensko by malo vystúpiť z EÚ.,"Odporcovia členstva Slovenska v EÚ argumentujú, že Slovensko stráca svoju suverenitu a že by napríklad bola lepšia voľnejšia aliancia, akou je ekonomická EFTA (Nórsko, Švajčiarsko, Island) spojená s krajinami EÚ dohodami. Naopak zástancovia argumentujú napríklad tým, že takto majú občania Slovenska možnosť viac ovplyvňovať podobu Európy.",12
13,Stiahnutie sa z Afganistanu,Slovenskí vojaci by sa mali stiahnuť z Afganistanu najneskôr do konca roka 2013.,"V súčasnosti pôsobí v Afganistane okolo 300 slovenských vojakov. Sú tam napríklad aj vojaci z Nemecka (4800) Alebo ČR (500), z Rakúska prakticky nie.",13
14,Vystúpenie z NATO,Slovensko by malo  vystúpiť z NATO.,"Slovensko je členom NATO. Napr. Rakúsko jeho členom nie je. Odporcovia členstva napr. hovoria, že po rozpade Varšavskej zmluvy už NATO nie je potrebné a tiež, že zatiaľ zasahovalo len v bývalej Juhoslávii, v Afganistane a čiastočne v Iraku, teda mimo územia svojich členov, hoci má ísť o obrannú organizáciu.",14
15,Pokuty za dopravné priestupky,Pokuty za dopravné priestupky by sa mali aspoň čiastočne stanovovať podľa príjmu dlžníka.,"Pokuty za dopravné priestupky na Slovensku sú stanovené bez ohľadu na príjem dlžníka. Pre rôznych ľudí teda majú rôzne závažnosti (50 € má inú hodnotu pre toho, kto zarába 500 €, a inú pre toho, kto zarába 5 000 €). Takto je popretá ich funkcia trestu pre ľudí s vyššími príjmami. Inou možnosťou je výber pokút v % podľa výšky príjmu. Takto je to vo Fínsku a čiastočne aj v ďalších škandinávskych krajinách alebo v Švajčiarsku.",15
16,Eutanázia,Mala by sa zaviesť možnosť eutanázie.,Eutanázia nie je povolená na Slovensku ani v žiadnej z okolitých krajín. Naopak je legálna  napríklad v Holandsku alebo v Belgicku.,16
17,Interrupcie,"Mali by byť zakázané interrupcie (okrem výnimočných prípadov ako napr znásilnenie, ohrozenie života matky).","Interrupcia na žiadosť matky je na Slovensku možná, rovnako ako napríklad v Česku, Rakúsku,  Maďarsku alebo na Ukrajine. V Poľsku je naopak zakázaná až na určité výnimočné prípady.",17
18,Vek trestnej odpovednosti,Mal by byť zvýšený vek trestnej zodpovednosti (napr. na 15 rokov).,Na Slovensku je trestná zodpovednosť od 14 rokov (podobne ako napríklad v Nemecku). Napr. v Česku je to 15 rokov.,18
19,Daňová progresia,"Mala by sa zvýšiť daňová progresia u dane z príjmov u ľudí (tj ""vyššie % dane pre vyššie príjmy"").","Slovenská republika má jednotnú daň z príjmu 19%. Vďaka zľave na daňovníka ale ide v skutočnosti o daň od 0% (pri minimálnom plate) po 19%. V Nemecku je zdanenie viac progresívne, od 0% po 45% (nad 12000 € mesačne), v ČR je to podobné ako na Slovensku.",19
20,Miestne referendum,Mala by sa znížiť účasť potrebná pre platnosť miestneho referenda aspoň pre veľké mestá.,"Na Slovensku je pre platnosť miestneho referenda potrebná účasť aspoň 50% obyvateľov obce. Vo veľkých mestách je to podľa skúseností výrazne horšie dosiahnuteľné. Napr. v Poľsku je minimálna účasť pre platnosť referenda 30%, v ČR 35% a v Bavorsku je to  odstupňované podľa veľkosti mesta od 20% (pod 50 000 ľudí) po 10% (nad 100 000 ľudí).",20
21,Voľby cez internet,Mala by sa zaviesť možnosť voliť cez internet.,"Voliť cez internet je možné v Estónsku. Je to možné vďaka tomu, že estónsky občiansky preukaz obsahuje čip a funguje aj ako (bezplatný) elektronický podpis pre komunikáciu s úradmi. Pri posledných voľbách tento spôsob použilo asi 10% voličov. Na druhú stranu  počítačové systémy nie sú stopercentné a existuje tak riziko veľkého volebného podvodu.",21
22,Dekriminalizácia marihuany,Pestovanie marihuany pre vlastnnů potrebu by malo byť dekriminalizované.,"Na Slovensku je trestné prechovávať a pestovať marihuanu, či už pre vlastnú potrebu alebo za účelom predaja. V niektorých krajinách je špecifické používanie, pestovanie a distribúcia legalizovaná. Napr. v ČR je možné legálne pestovať až 5 rastlín konope pre vlastnú potrebu.",22
23,Dvojité občianstvo,Mal by sa zrušiť zákon zakazujúci dvojité občianstvo,"V roku 2010 bol prijatý zákon zakazujúci dvojité občianstvo. Ak získajú teda napríklad príslušníci maďarskej menšiny občianstvo Maďarska, stratí automaticky občianstvo slovenské.",23
24,ACTA,ACTA by mala na Slovensku platiť,"EÚ sa nedávno pripojila k medzinárodnej dohode ACTA, ktorej cieľom je obmedziť porušovanie autorských práv. Podľa mnohých kritikov však ACTA dáva vládam nástroje k cenzúre internetu. ČR, Poľsko aj iné štáty už ratifikáciu ACTA pozastavili.",24
25,Odchod Grécka z eurozóny,Grécko by malo byť nútené k odchodu z eurozóny.,"Podľa mnohých ľudí je kvôli zlej hospodárskej situácii nemožné, aby Grécko naďalej používalo euro ako svoju menu. Iní sa domnievajú, že Grécko môže v eurozóne zotrvať, ak prijme nevyhnutné hospodárske reformy.",25
26,Zdravotnické poplatky,Mali by sa znovuzaviesť zdravotnícke poplatky,V roku 2006 boli zrušené poplatky za návštevu lekára. V ČR je za návštevu ordinácie účtovaný poplatok vo výške asi 1 €.,26
27,Fajčenie v reštauráciách,Malo by byť úplne zakázané fajčiť v reštauráciách,Od 2009 na Slovensku platí zákaz fajčenia vo verejných priestoroch a reštaurácie musia mať stavebne oddelenú časť pre nefajčiarov. V niektorých štátoch EÚ je však fajčenie v reštauráciách úplne zakázané.,27
28,Rýchlosť na diaľniciach,Malo by sa zrušiť obmedzenia rýchlosti na diaľniciach.,"Na Slovenskúu je maximálna povolená rýchlosť na diaľniciach 130 km/h, ale na vybraných miestach môže byť až 160 km/h V ČR je maximálna povolená rýchlosť na diaľniciach 130 km/h. V Nemecku nie je vôbec obmedzená.",28
29,Platy počas krízy,Všetkým ľuďom plateným z verejných peňazí by sa počas krízy mal znížiť plat.,"V dôsledku hospodárskej krízy sa vybralo menej daní, ktoré sa používajú aj pre platy ľudí platených z verejných peňazí (napr. učitelia, vojaci, policajti, úradníci, sudcovia, politici).",29
30,Ústav pamäti národa,Mal by sa zrušiť Ústav pamäti národa.,"Ústav pamäti národa je verejnoprávna inštitúcia, ktorá zhromažďuje a spracováva všetky druhy informácií, vzťahujúcich sa na dobu neslobody v rokoch 1939-1989. Ústav pamäti národa je zdrojom kontroverzie a býva obviňovaný z účelového nakladania s archívnymi materiálmi. Obdobný ústav existuje aj v Poľsku alebo v ČR.",30
31,Elektronické aukcie,Nákupy pre štátnu správu by mali používať elektronické aukcie.,"V súvislosti s korupčnou kauzou Gorila sa hovorí o potrebe zmeniť zákon o verejnom obstarávaní, najmä o zavedení elektronických aukcií pri nákupoch pre štátnu správu.",31
32,Slovenská koruna,Mala by se opätovne zaviesť koruna,Mnohí ľudia považujú euro za prekážku hospodárskeho rozvoja krajín EÚ a požadujú jeho zrušenie. Podľa iných prevažujú výhody existencie eura.,32
