id,motion:name,motion:text,motion:description,order,motion:text_candidates,order_long,order_2
27,Regulace hazardu pouze obcemi,Povolovat jakékoliv herní automaty by měly výhradně obce.,"V současné době se debatuje, zda některé formy hazardu (např. „videoterminály“) má povolovat Ministerstvo financí či obce. Podle zastánců existuje možnost korupce na lokální úrovni, podle odpůrců mají obce omezené možnosti ovlivnit umístění herních automatů na svém území. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Povolovat jakékoliv herní automaty by měly výhradně obce.,27,19
28,Jmenování soudců bez ohledu na věk,Hlava státu by měla jmenovat soudce a další osoby do jejich funkce bez ohledu na jejich věk.,"Prezident jmenuje soudce a další osoby do jejich úřadu. Není jasné, zda to musí udělat bez ohledu na svůj osobní názor, nebo zda může z různých důvodů odmítnout, například kvůli jejich věku.",18,Hlava státu by měla jmenovat soudce a další osoby do jejich funkce bez ohledu na jejich věk.,28,20
29,ACTA by měla platit,Smlouva ACTA by měla v ČR platit.,"Nedávno byla podepsána protipirátská mezinárodní dohoda ACTA. Podle příznivců pomůže omezit nelegální kopírování, podle odpůrců hrozí zneužití pravomocí k cenzuře internetu.",,Smlouva ACTA by měla v ČR platit.,29,
30,Podpis mezinárodních smluv bez odkladu,"Hlava státu by měla podepsat mezinárodní smlouvu bez ohledu na svůj osobní postoj a bez zbytečného odkladu, jestliže to odsouhlasí vláda.",Podle Ústavy prezident sjednává a ratifikuje mezinárodní smlouvy. V praxi je ale za zahraniční politiku zodpovědná zejména vláda.,19,"Hlava státu by měla podepsat mezinárodní smlouvu bez ohledu na svůj osobní postoj a bez zbytečného odkladu, jestliže to odsouhlasí vláda.",30,25
31,Ne vlastnictví anonymních akcií,Možnost vlastnit společnost pomocí anonymních akcií by měla být zrušena.,"ČR je jednou z mála zemí světa, kde jsou povoleny anonymní akcie, u nichž nejde dohledat fyzický vlastník. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Možnost vlastnit společnost pomocí anonymních akcií by měla být zrušena.,31,30
32,Zastávání názoru vlády na zahraničních návštěvách,"Hlava státu by měla na oficiálních a soukromých návštěvách v zahraničí prezentovat postoj vlády, i kdyby se neshodoval s jejím osobním postojem.",,20,"Na oficiálních a soukromých návštěvách v zahraničí budu prezentovat postoj vlády, i kdyby se neshodoval s mým osobním postojem. ",32,
33,Zveřejňování platů politiků a úředníků,Stát by měl platy a odměny vrcholných politiků a vysokých státních úředníků pravidelně zveřejňovat.,"V ČR jsou nyní platy a odměny politiků a státních úředníků neveřejné. Je možné o ně požádat na základě zákona o svobodném přístupu k informacím, úřady ale často odmítají údaje vydat. Např. ve Velké Británii jsou platy vysokých státních úředníků zveřejňovány státem. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Stát by měl platy a odměny vrcholných politiků a vysokých státních úředníků pravidelně zveřejňovat.,33,
34,Podpis Lisabonské smlouvy,Jako hlava státu bych podepsal(a) Lisabonskou smlouvu.,Lisabonská smlouva vstoupila v platnost v roce 2009. Podle zastánců posiluje hlubší integrace EU ekomoniku členských zemí a činí z nich významnější aktéry mezinárodní politiky. Podle odpůrců hlubší integrace země ztrácejí možnost rozhodovat o vnitřních záležitostech a členství je pro ně ekonomicky nevýhodné.,21,Jako hlava státu bych podepsal(a) Lisabonskou smlouvu.,34,
35,Protikorupční státní zastupitelství,Mělo by být zřízeno specializované státní zastupitelství pro boj proti korupci.,"V ČR se nyní uvažuje o zřízení specializovaného státního zastupitelství pro boj proti korupci. Podle zastánců vytvoření jednoho nezávislého orgánu pomůže v boji proti systémové korupci, podle odpůrců může být taková instituce pod velkým politickým a korupčním tlakem. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Mělo by být zřízeno specializované státní zastupitelství pro boj proti korupci.,35,
36,Snížení imunity prezidenta,Imunita hlavy státu by měla být oproti současnému stavu omezena.,"Prezidenta nelze zadržet ani trestně stíhat. Podle zastánců jde o pojistku proti politickému pronásledování hlavy státu, podle odpůrců je takto široká imunita potenciálně zneužitelná.",3,Imunita hlavy státu by měla být oproti současnému stavu omezena.,3,3
37,Zavedení eutanazie,Měla by být zavedena možnost eutanazie.,"Eutanazie není povolená v ČR ani v žádné z okolních zemí. Podle zastánců je ukončení života základním právem člověka, podle odpůrců je nemorální a hrozí jeho zneužití. Eutanazie je legální např. v Nizozemí nebo v Belgii. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Měla by být zavedena možnost eutanazie.,37,
38,Zachování prezidentských milostí,Hlava státu by měla mít možnost udělovat milost.,"Prezident může odpouštět a zmírňovat tresty a nařídit, aby se nezahajovalo nebo nepokračovalo v trestním stíhání. Podle zastánců jde o pojistku proti selhání soudů, podle odpůrců může hrozit zneužití této pravomoci.",2,Hlava státu by měla mít možnost udělovat milost.,2,1
39,Výuka romštiny,Měla by se podporovat možnost výuky romštiny jako volitelného předmětu.,"V ČR platí zákon, že národnostní menšiny mají právo na výuku ve svém jazyce. Zatímco v ČR fungují školy např. v polštině, romština není v ČR ani volitelným předmětem (mj. nejsou vyškolení učitelé). Např. na Slovensku místy je. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Měla by se podporovat možnost výuky romštiny jako volitelného předmětu.,39,
40,Přímá volba prezidenta,Hlava státu by měla být volena přímo.,"V současné době je prezident volen přímo, stejně jako na Slovensku nebo v Polsku. V zemích, jako je Německo nebo Maďarsko je hlava státu volena Parlamentem nebo podobným orgánem.",24,Hlava státu by měla být volena přímo.,40,
41,Interrupce jen v nutných případech,"Interrupce by měla být zakázána až na výjimečné případy, jako je znásilnění či ohrožení života matky.","Interrupce na žádost matky je v ČR možná stejně jako např. na Slovensku, v Rakousku či na Ukrajině. V Polsku je naopak zakázána až na určité výjimečné případy. Podle zastánců je právo na potrat základním právem ženy, podle odpůrců je nemorální. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,"Interrupce by měla být zakázána až na výjimečné případy, jako je znásilnění či ohrožení života matky.",41,
42,Širší pravomoci prezidenta,Hlava státu ČR by měla mít oproti současnému stavu širší pravomoci.,"V zemích jako je Francie má prezident silnější pravomoci než u nás, například může jmenovat a odvolat vládu nebo snadno rozpustit Parlament. Naopak například v Německu je jeho postavení ještě slabší než v ČR.",25,Hlava státu ČR by měla mít oproti současnému stavu širší pravomoci.,42,27
43,Adopce homosexuálními páry,Homosexuální páry by měly mít možnost adoptovat děti.,"V současné době mohou homosexuální páry uzavírat tzv. registrované partnerství, nemohou ovšem adoptovat děti. Adopce homosexuálními páry je legální např. v Nizozemí, ve Švédsku či v Norsku. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Homosexuální páry by měly mít možnost adoptovat děti.,43,
44,Zákaz stavby mešit,V ČR by měla být zakázána stavba mešit.,"V ČR nyní stojí několik mešit a jiných muslimských modliteben. Podle zastánců jejich výstavby jde o vyjádření svobody vyznání, podle odpůrců existence mešit v ČR není v souladu s křesťanskou tradicí země. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,V ČR by měla být zakázána stavba mešit.,44,16
45,Volby po Internetu,Měla by být zavedena možnost volit po internetu.,"Volit po internetu je možné v Estonsku. Podle zastánců to usnadňuje účast ve volbách, podle odpůrců počítačové systémy nejsou zcela bezpečné a existuje riziko volebního podvodu. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Měla by být zavedena možnost volit po internetu.,45,
46,Snížení DPH,Sazba DPH by se měla snížit.,"Sazba DPH se nedávno zvýšila jako reakce na nižší výběr daní kvůli krizi. Podle zastánců povede zvýšení DPH k vyšším příjmům státního rozpočtu a ke snížení veřejného dluhu, podle odpůrců povede ke zdražení zboží a služeb. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Sazba DPH by se měla snížit.,,6
47,Zákon o vyrovnaném státním rozpočtu,Měl by být schválen zákon o vyrovnaném státním rozpočtu.,"V současné době se diskutuje o zavedení zákona o vyrovnaném státním rozpočtu, který by určoval určitou maximální povolenou míru schodku rozpočtu. Podle zastánců jde o opatření sloužící k omezení zadlužování státu, podle odpůrců zákon  znemožní vládě provádět nezbytná opatření v hospodářské politice. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Měl by být schválen zákon o vyrovnaném státním rozpočtu.,,14
48,Rovnoměrné rozmístění státních institucí,"Mělo by se zavést pravidlo, že státní instituce by měly být rozmísťovány rovnoměrně po celém území ČR.","V ČR je velké množství státních a státem placených institucí v Praze. Naproti tomu v Německu existuje pravidlo, že takové instituce musejí být rozmísťovány rovnoměrně po celé zemi. Podle zastánců to zlepšuje přístup občanů k úřadům a posiluje nezávislost kontrolních institucí, podle odpůrců to snižuje efektivitu státní správy. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,"Mělo by se zavést pravidlo, že státní instituce by měly být rozmísťovány rovnoměrně po celém území ČR.",,15
49,Kvóty pro ženy,Pro obsazování vysokých volených funkcí by měly být zavedeny kvóty pro ženy.,"V některých skandinávských zemích jsou zavedeny kvóty pro ženy při obsazování některých volených funkcí. Podle zastánců zabraňují diskriminaci žen, podle odpůrců porušují rovnost pohlaví před zákonem.",,Pro obsazování vysokých volených funkcí by měly být zavedeny kvóty pro ženy.,,
50,Zákaz kouření v restauracích,Mělo by být zakázáno kouřit v restauracích.,"V mnoha zemích se v poslední době rozšiřují zákony zakazující kouření v restauracích. Např. v mnoha německých spolkových zemích je to zakázáno, na Slovensku je nutno vyhradit stavebně oddělený nekuřácký prostor.",,Mělo by být zakázáno kouřit v restauracích.,,
51,Zákaz billboardů,Zákaz billboardů u silnic by měl být zrušen.,"Nedávno začala platit novela, která nařizuje odstranit do pěti let billboardy v okolí dálnic, rychlostních komunikací a silnic I. třídy. Podle zastánců toto opatření sníží počet dopravních nehod, podle odpůrců problém neřeší, protože billboardy se přesunou na soukromé pozemky okolo silnic.",,Zákaz billboardů u silnic by měl být zrušen.,,
52,Zákaz jízdy kamionů,Zákaz jízdy kamionů by měl být oproti současnému stavu rozšířen.,"Na silnicích v ČR platí nyní zákaz jízdy kamionů v neděli. Podle zastánců pomáhá toto opatření snížit dopravní zátěž tranzitních obcí, podle odpůrců omezení přepravy zboží snižuje hospodářský růst.",,Zákaz jízdy kamionů by měl být oproti současnému stavu rozšířen.,,
53,Trest smrti,V ČR by měl být zaveden trest smrti.,"V ČR a v řadě dalších evropských zemí je nyní trest smrti nepřípustný. Podle jeho zastánců pomáhá díky své odstrašující funkci snižovat kriminalitu, podle odpůrců je nemorání a hrozí jeho zneužití a justiční omyly.",,V ČR by měl být zaveden trest smrti.,,
54,Celostátní referendum,Měla by se uzákonit možnost celostátního referenda vypisovaného na základě petice.,"V ČR je možné vyhlásit celostátní referendum pouze tehdy, pokud o něm rozhodne Parlament. Např. na Slovensku je to možné po shromáždění 350 000 podpisů, v „referendovém“ Švýcarsku je třeba 50 000 podpisů. Referenda je možné žádat i ve spolkových zemích v Německu, v celém Německu prakticky ne. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Měla by se uzákonit možnost celostátního referenda vypisovaného na základě petice.,,2
55,Snazší místní referendum,Měla by se snížit hranice pro platnost místního referenda alespoň pro velká města.,"V ČR je pro platnost místního referenda nutná účast alespoň 35 % obyvatel obce a alespoň 25 % obyvatel musí hlasovat pro vítěznou variantu. Ve velkých městech je to dle zkušeností těžko dosažitelné. Např. v Polsku je minimální účast pro platnost referenda 30 %, na Slovensku 50 % a v Bavorsku je to odstupňované dle velikosti města od 20 % (pod 50 000 lidí) po 10 % (nad 100 000 lidí). Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Měla by se snížit hranice pro platnost místního referenda alespoň pro velká města.,,28
56,Imunita poslanců a senátorů,"Imunita poslanců a senátorů by měla být omezena tak, že by se vztahovala jen na proslovy v Parlamentu.","Poslanci a senátoři nemohou být trestně stíháni, pokud je Parlament odmítne vydat. V takovém případě už za daný skutek nemohou být stíháni nikdy. Podle zastánců jde o pojistku proti politickému pronásledování zákonodárců, podle odpůrců brání imunita ve vyšetřování trestné činnosti zákonodárců.",,"Imunita poslanců a senátorů by měla být omezena tak, že by se vztahovala jen na proslovy v Parlamentu.",,18
57,Zrušení Senátu,Senát by měl být zrušen.,"Při volbách do Senátu je dlouhodobě nejnižší účast (srovnatelná jen s účastí v „eurovolbách“). Podle zastánců Senát plní funkci ""pojistky"" a pomáhá při vytváření kvalitnějších zákonů, podle odpůrců jde o zbytečnou instituci. Obdoba Senátu existuje v Polsku, např. v Německu jsou „senátory“ zástupci zemských vlád. Na Slovensku a v Maďarsku Senát není.",,Senát by měl být zrušen.,,17
58,Klouzavý mandát,Měl by být zaveden tzv. klouzavý mandát,"V ČR je možné i běžné, že ministři vlády jsou zároveň poslanci nebo senátory. Podle zastánců je kumulace funkcí prospěšná díky přenosu znalostí a zkušeností, podle odpůrců je těžko zvládnutelná. V řadě zemí existuje takzvaný „klouzavý mandát“ – za poslance nastupuje po dobu jeho členství ve vládě dočasný náhradník.",,Měl by být zaveden tzv. klouzavý mandát.,,
59,Lidová iniciativa,Občané by měli mít možnost předložit návrh zákona pomocí petice.,"V ČR mají zákonodárnou iniciativu pouze poslanci, vláda, Senát a zastupitelstvo kraje. V řadě zemí mohou navíc občané možnost předložit zákon do Parlamentu přímo, a to pomocí petice.",,Občané by měli mít možnost předložit návrh zákona pomocí petice.,,
60,Zákon o státní službě,Zákon o státní službě by měl vstoupit v platnost,"Zákon o státní službě upravuje pravomoci a odpovědnost úředníků. Ačkoli byl přijat již v roce 2002, jeho vstup v platnost je neustále odsouván. Podle zastánců je důležitý, protože chrání státní správu před politicky motivovanými zásahy a stanovuje odpovědnost úředníků za jejich rozhodování. Podle odpůrců je zastaralý a kvůli zavedení nových platových tříd by jeho platnost zatížila státní rozpočet.",,Zákon o státní službě by měl vstoupit v platnost.,,
